PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
2731729,Inactive,4
2731053,Inactive,2
585329,Inactive,5
805279,Inactive,0
2731970,Inactive,9
2731134,Inactive,3
2732074,Inactive,0
2731192,Inactive,8
2732192,Inactive,1
2245956,Inactive,0
135419071,Inactive,0
2731345,Inactive,0
2732470,Inactive,0
2732542,Inactive,3
2738072,Inactive,0
268726,Inactive,0
7425,Inactive,0
2732702,Inactive,5
712421,Inactive,0
2732778,Inactive,0
2738165,Inactive,0
2732846,Inactive,9
2738257,Inactive,0
2732953,Inactive,0
2738353,Inactive,0
135504729,Inactive,0
2738442,Inactive,0
2733078,Inactive,0
2738491,Inactive,0
2737889,Inactive,0
2738552,Inactive,0
2737948,Inactive,0
2738602,Inactive,0
2738010,Inactive,0
746101,Inactive,6
2730680,Inactive,5
2731420,Inactive,0
2730739,Inactive,9
274563,Inactive,5
2730881,Inactive,1
2731564,Inactive,0
32889,Inactive,8
2731664,Inactive,0
708392,Inactive,9
2731743,Inactive,0
10858,Inactive,7
2731893,Inactive,0
2731113,Inactive,7
2731980,Inactive,0
2731145,Inactive,7
2732080,Inactive,11
2731210,Inactive,7
710107,Inactive,0
708864,Inactive,0
2732319,Inactive,8
2731350,Inactive,21
842617,Inactive,12
2732543,Inactive,0
228461,Inactive,0
710792,Inactive,0
85631,Inactive,1
2732719,Inactive,0
2736490,Inactive,0
2732783,Inactive,0
2738173,Inactive,0
2732863,Inactive,0
2738295,Inactive,0
2732963,Inactive,0
2738392,Inactive,0
2733032,Inactive,0
2738446,Inactive,0
2737825,Inactive,0
2738492,Inactive,0
2737890,Inactive,0
2738554,Inactive,0
2737950,Inactive,0
2738604,Inactive,0
1550522,Inactive,4
2738666,Inactive,6
2730683,Inactive,0
709189,Inactive,0
2730742,Inactive,0
2731510,Inactive,0
2730909,Inactive,0
5924862,Inactive,0
707055,Inactive,0
2731669,Inactive,4
296157,Inactive,3
2731776,Inactive,2
2731056,Inactive,0
2731898,Inactive,0
2731117,Inactive,6
2731994,Inactive,2
2731158,Inactive,6
2732091,Inactive,2
5923140,Inactive,5
2732201,Inactive,3
292818,Inactive,5
6925168,Inactive,6
2731364,Inactive,20
2732502,Inactive,5
2732552,Inactive,0
2738074,Inactive,0
2732599,Inactive,0
45108879,Inactive,0
2732722,Inactive,0
688618,Inactive,0
2732809,Inactive,0
2738194,Inactive,0
2732892,Inactive,0
2738302,Inactive,0
2732987,Inactive,0
2738395,Inactive,0
2733039,Inactive,2
2738455,Inactive,1
5702917,Inactive,0
2738493,Inactive,0
2737919,Inactive,0
2738556,Inactive,2
712130,Inactive,0
2738605,Inactive,0
2738016,Inactive,0
2738669,Inactive,0
2730716,Inactive,0
2731435,Inactive,0
2730750,Inactive,0
2731514,Inactive,0
2730945,Inactive,0
2731622,Inactive,0
2731021,Inactive,0
2731673,Inactive,0
67686,Inactive,0
2731790,Inactive,0
2731057,Inactive,0
2731901,Inactive,0
317099,Inactive,0
253230,Inactive,0
2731164,Inactive,0
2732095,Inactive,0
5931618,Inactive,0
2732222,Inactive,0
2731293,Inactive,4
2732360,Inactive,0
2731376,Inactive,0
710522,Inactive,0
2732553,Inactive,0
2738080,Inactive,0
2732641,Inactive,0
66656,Inactive,0
2732726,Inactive,3
712465,Inactive,0
2732821,Inactive,0
2738195,Inactive,0
2732899,Inactive,0
2738314,Inactive,0
2732994,Inactive,0
2738405,Inactive,0
2733042,Inactive,0
2738472,Inactive,0
2737844,Inactive,0
2738502,Inactive,0
5702938,Inactive,0
2738557,Inactive,0
135544964,Inactive,0
2738623,Inactive,0
2738037,Inactive,4
2738672,Inactive,0
2730720,Inactive,0
9566493,Inactive,0
5924338,Inactive,0
709303,Inactive,0
2730954,Inactive,0
709445,Inactive,0
2731023,Inactive,0
709495,Inactive,0
96036,Inactive,0
2731823,Inactive,2
2731062,Inactive,2
6906709,Inactive,7
2731122,Inactive,0
2732000,Inactive,2
2731180,Inactive,3
678764,Inactive,8
2731244,Inactive,0
2732228,Inactive,6
2731299,Inactive,5
2732382,Inactive,2
2731390,Inactive,0
2732504,Inactive,0
2732563,Inactive,0
2738081,Inactive,0
711022,Inactive,0
673681,Inactive,0
711203,Inactive,0
712477,Inactive,0
2732827,Inactive,0
2738228,Inactive,0
2732902,Inactive,0
2738317,Inactive,0
2732996,Inactive,0
2738411,Inactive,0
2733059,Inactive,0
2738474,Inactive,0
2737846,Inactive,0
2738505,Inactive,0
5702941,Inactive,0
2738565,Inactive,0
135544966,Inactive,0
2738640,Inactive,0
2738047,Inactive,1
2738673,Inactive,0
2730723,Inactive,0
2731464,Inactive,0
135419072,Inactive,0
2731523,Inactive,0
2730958,Inactive,0
2731642,Inactive,0
285451,Inactive,0
2731687,Inactive,0
248382,Inactive,0
2731854,Inactive,0
6364902,Inactive,0
45108880,Inactive,0
708576,Inactive,0
2732005,Inactive,0
2731187,Inactive,0
135419073,Inactive,0
2731248,Inactive,0
2732238,Inactive,0
9566480,Inactive,0
2732402,Inactive,0
2731396,Inactive,0
2732513,Inactive,0
2732568,Inactive,0
2738087,Inactive,0
2732644,Inactive,0
117278,Inactive,0
2732746,Inactive,0
712478,Inactive,0
711357,Inactive,0
2738240,Inactive,0
2732905,Inactive,0
2738324,Inactive,0
2732997,Inactive,0
2738427,Inactive,0
668160,Inactive,0
2738483,Inactive,0
2737865,Inactive,0
2738531,Inactive,0
2737941,Inactive,0
2738566,Inactive,0
2737986,Inactive,0
2738641,Inactive,0
2738053,Inactive,0
2738674,Inactive,0
2730727,Inactive,0
2731466,Inactive,0
2730806,Inactive,0
2731525,Inactive,0
688021,Inactive,0
2731647,Inactive,0
2731024,Inactive,0
2731710,Inactive,0
70336,Inactive,0
135504712,Inactive,0
