PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
12850184,Inactive,0
89753,Inactive,0
9403,Inactive,0
13218779,Inactive,0
142766,Inactive,0
16043,Inactive,0
16043,Inactive,0
2724411,Inactive,0
2724372,Inactive,0
637566,Inactive,0
994,Inactive,0
4766,Inactive,0
79472,Inactive,0
3080,Inactive,0
197883,Inactive,0
51,Inactive,0
66064,Inconclusive,20
66435,Inactive,0
8969,Inactive,0
10664,Inactive,0
8739,Inactive,0
4904,Inactive,0
65463,Inactive,0
439501,Inactive,0
65708,Inactive,0
60196259,Inactive,0
5338,Inactive,0
3246155,Inactive,0
5920,Inactive,0
54724367,Inactive,0
7329,Active,41
667466,Inactive,0
24403,Inactive,0
6419941,Inactive,0
6603108,Inactive,0
6419978,Inactive,0
5459110,Inactive,0
656597,Inactive,0
3000668,Inactive,0
22576,Inactive,0
2333,Inconclusive,20
614,Inactive,0
94280,Inactive,0
23664709,Inactive,0
546,Inactive,0
16678045,Inactive,0
14676,Inactive,0
441358,Inactive,0
71822,Inactive,0
443939,Inactive,0
298391,Inactive,0
4078,Inactive,0
2348,Inactive,0
23667629,Inactive,0
122820,Inactive,0
3151,Inactive,0
65758,Inactive,0
5694,Inactive,0
4614,Inactive,0
71203,Inactive,0
3061720,Inactive,0
35370,Inactive,0
2266,Inactive,0
2170,Inactive,0
1727,Inactive,0
2081,Inactive,0
1989,Inactive,0
2130,Inactive,0
169371,Inactive,0
5283389,Inactive,0
119,Inactive,0
1967,Inactive,0
1935,Inactive,0
2265,Inactive,0
135398513,Inactive,0
2244,Inactive,0
2141,Inactive,0
1986,Inactive,0
2230,Inactive,0
16231,Inactive,0
564,Inactive,0
135401907,Inactive,0
2157,Inactive,0
2119,Inactive,0
2123,Inactive,0
2196,Inactive,0
4768,Inactive,0
2471,Inactive,0
2351,Inconclusive,21
2284,Inactive,0
2369,Inactive,0
2477,Inactive,0
2717,Inactive,0
1687,Inactive,0
2765,Inactive,0
2708,Inactive,0
2578,Inactive,0
2754,Inactive,0
6241,Inactive,0
22420,Inactive,0
72276,Inactive,0
2727,Inactive,0
4211,Inactive,0
2554,Inactive,0
2733,Inactive,0
2756,Inactive,0
2720,Inactive,0
5309446,Inactive,0
1547484,Inactive,0
1355,Inactive,0
2812,Inactive,0
