PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
12850184,Inconclusive,10
89753,Inactive,0
9403,Inconclusive,20
13218779,Inconclusive,10
142766,Active,41
16043,Inactive,0
16043,Active,41
2724411,Active,40
2724372,Active,41
637566,Inconclusive,10
994,Inactive,0
4766,Inconclusive,10
79472,Active,41
3080,Inactive,0
197883,Inactive,0
51,Inactive,0
66064,Inconclusive,10
66435,Inconclusive,10
8969,Inactive,0
10664,Inconclusive,10
8739,Inactive,0
4904,Inconclusive,10
65463,Inconclusive,20
439501,Active,89
65708,Inactive,0
60196259,Inactive,0
5338,Inconclusive,10
3246155,Inconclusive,10
5920,Active,41
54724367,Inactive,0
7329,Active,86
667466,Inconclusive,10
24403,Inactive,0
6419941,Inactive,0
6603108,Inactive,0
6419978,Inactive,0
5459110,Inactive,0
656597,Inconclusive,10
3000668,Inactive,0
22576,Inconclusive,10
2333,Active,85
614,Inactive,0
94280,Inconclusive,10
23664709,Inactive,0
546,Inactive,0
16678045,Inactive,0
14676,Inconclusive,10
441358,Inconclusive,10
71822,Inconclusive,10
443939,Inactive,0
298391,Inactive,0
4078,Inconclusive,10
2348,Inconclusive,10
23667629,Inactive,0
122820,Inconclusive,20
3151,Inactive,0
65758,Inactive,0
5694,Inconclusive,10
4614,Inactive,0
71203,Inactive,0
3061720,Inconclusive,10
35370,Inconclusive,10
2266,Inactive,0
2170,Inconclusive,10
1727,Inconclusive,10
2081,Inconclusive,10
1989,Inactive,0
2130,Inconclusive,10
169371,Inactive,0
5283389,Inconclusive,10
119,Inactive,0
1967,Inconclusive,10
1935,Inactive,0
2265,Active,40
135398513,Inactive,0
2244,Inactive,0
2141,Inactive,0
1986,Inactive,0
2230,Inactive,0
16231,Inconclusive,10
564,Inactive,0
135401907,Inconclusive,10
2157,Inconclusive,10
2119,Inconclusive,10
2123,Inactive,0
2196,Inactive,0
4768,Inactive,0
2471,Inconclusive,20
2351,Inconclusive,20
2284,Inactive,0
2369,Inactive,0
2477,Inactive,0
2717,Inactive,0
1687,Inconclusive,10
2765,Inactive,0
2708,Inactive,0
2578,Inactive,0
2754,Inconclusive,10
6241,Inconclusive,10
22420,Inconclusive,10
72276,Inconclusive,20
2727,Inconclusive,10
4211,Active,42
2554,Inactive,0
2733,Active,41
2756,Inactive,0
2720,Inactive,0
5309446,Inconclusive,10
1547484,Inactive,0
1355,Inconclusive,10
2812,Active,42
2913,Inconclusive,10
135398737,Inconclusive,10
4652,Inconclusive,10
64927,Inconclusive,20
2796,Inactive,0
2801,Inconclusive,10
2803,Inconclusive,10
2753,Inconclusive,10
2726,Inconclusive,10
2762,Inconclusive,10
2576,Inactive,0
19379,Inconclusive,10
2910,Inconclusive,10
104920,Inconclusive,10
36811,Inconclusive,21
3100,Inconclusive,10
10649,Inactive,0
65327,Inconclusive,10
6419921,Inconclusive,10
3053,Inactive,0
3019,Inactive,0
3108,Inconclusive,10
4943,Inconclusive,10
9363,Inconclusive,10
9363,Inactive,0
53708,Inactive,0
8307,Inconclusive,10
72016,Inactive,0
3194,Active,41
6207,Inconclusive,20
3396,Active,41
3433,Inactive,0
3386,Inconclusive,10
3331,Inactive,0
3372,Inconclusive,10
3339,Inconclusive,20
3373,Inactive,0
3442,Inactive,0
3385,Inactive,0
3356,Inactive,0
3341,Inactive,0
3325,Inconclusive,10
3397,Active,82
3333,Active,41
3478,Inconclusive,10
3446,Inactive,0
3488,Inconclusive,10
71401,Inactive,0
135398740,Inactive,0
5280961,Active,84
3559,Inconclusive,10
9351,Inconclusive,10
5702293,Inactive,0
3639,Inconclusive,10
774,Inconclusive,10
681,Inactive,0
3657,Inactive,0
785,Inactive,0
3672,Inconclusive,20
55918,Inactive,0
3779,Inconclusive,10
54459,Active,40
3696,Inconclusive,10
133621,Inactive,0
3827,Inconclusive,10
3932,Inactive,0
3965,Inactive,0
3878,Inconclusive,10
3955,Inconclusive,10
39562,Inactive,0
3899,Active,43
3676,Inactive,0
3883,Inconclusive,10
3957,Active,40
4170,Inactive,0
65710,Inactive,0
4168,Inactive,0
4122,Active,83
4810,Inactive,0
4184,Inconclusive,10
5353788,Inconclusive,10
4201,Inactive,0
6420039,Inactive,0
896,Inactive,0
119442,Inconclusive,10
51082,Inconclusive,10
4032,Inactive,0
4054,Inactive,0
4011,Inconclusive,10
4507,Active,40
4497,Inconclusive,10
4500,Inactive,0
4567,Inconclusive,10
4418,Inconclusive,10
4488,Active,83
4495,Active,85
4472,Inactive,0
4477,Active,96
71398,Active,82
4474,Active,41
4485,Inactive,0
4493,Inconclusive,10
39214,Inactive,0
4581,Inconclusive,10
4628,Inactive,0
4636,Inactive,0
4626,Inactive,0
4615,Inconclusive,10
4847,Inconclusive,10
4828,Inactive,0
4671,Inactive,0
4740,Inactive,0
16362,Inconclusive,10
40632,Inconclusive,10
6084,Inconclusive,20
4927,Inconclusive,10
4932,Inconclusive,10
4843,Inactive,0
4992,Inconclusive,20
54676228,Active,44
1676,Inactive,0
4748,Inconclusive,10
5917,Inactive,0
5887,Inconclusive,10
61100,Inconclusive,10
1046,Inactive,0
4909,Inconclusive,10
4848,Inactive,0
24351,Inconclusive,10
9373,Inactive,0
4781,Inconclusive,10
4781,Active,82
6603149,Inconclusive,20
4850,Inactive,0
4913,Active,41
4938,Inactive,0
5795,Inconclusive,10
5702242,Inconclusive,10
3001055,Inactive,0
5074,Inconclusive,10
5070,Inconclusive,10
5073,Inactive,0
68712,Inactive,0
54900,Active,85
5095,Inactive,0
445154,Active,64
56959,Inconclusive,10
37542,Inactive,0
5268,Inactive,0
5253,Inconclusive,10
5335,Inconclusive,10
131746,Inactive,0
72124,Inactive,0
5233,Inactive,0
2083,Inactive,0
8515,Active,87
5154,Active,83
5265,Active,83
1548887,Inconclusive,10
3448,Inactive,0
656665,Inactive,0
24871267,Inconclusive,10
5387,Inconclusive,10
5426,Inactive,0
5702214,Inactive,0
1123,Inactive,0
5454,Inconclusive,10
5505,Inactive,0
3117,Inconclusive,10
5503,Inconclusive,10
5610,Inactive,0
5546,Inactive,0
5429,Inactive,0
864,Inactive,0
62935,Inconclusive,20
2052,Active,82
2061,Active,41
1359,Inactive,0
8695,Inactive,0
5578,Inactive,0
54840,Inconclusive,10
671690,Inconclusive,10
5452,Inconclusive,10
5405,Inconclusive,10
