PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
12850184,Inactive,0
89753,Inactive,0
9403,Active,49
13218779,Inconclusive,5
142766,Inconclusive,30
16043,Inactive,0
16043,Active,47
2724411,Active,47
2724372,Inconclusive,30
637566,Inactive,0
994,Inactive,0
4766,Inactive,0
79472,Active,48
3080,Inactive,0
197883,Inactive,0
51,Inactive,0
66064,Inconclusive,20
66435,Inactive,0
8969,Inactive,0
10664,Inconclusive,5
8739,Inactive,0
4904,Inconclusive,5
65463,Active,43
439501,Active,69
65708,Inactive,0
60196259,Inactive,0
5338,Inconclusive,5
3246155,Inconclusive,20
5920,Active,47
54724367,Inactive,0
7329,Active,64
667466,Inconclusive,5
24403,Inactive,0
6419941,Inactive,0
6603108,Inactive,0
6419978,Inactive,0
5459110,Inactive,0
656597,Inactive,0
3000668,Inactive,0
22576,Inconclusive,20
2333,Active,62
614,Inactive,0
94280,Inconclusive,20
23664709,Inactive,0
546,Inactive,0
16678045,Inactive,0
14676,Inconclusive,20
441358,Inconclusive,20
71822,Inconclusive,20
443939,Inactive,0
298391,Inactive,0
4078,Inactive,0
2348,Inactive,0
23667629,Inactive,0
122820,Active,46
3151,Inactive,0
65758,Inactive,0
5694,Inactive,0
4614,Inactive,0
71203,Inactive,0
3061720,Inactive,0
35370,Inactive,0
2266,Inactive,0
2170,Inconclusive,20
1727,Inactive,0
2081,Inconclusive,20
1989,Inactive,0
2130,Inactive,0
169371,Inactive,0
5283389,Inconclusive,5
119,Inactive,0
1967,Inconclusive,20
1935,Inactive,0
2265,Inconclusive,30
135398513,Inactive,0
2244,Inactive,0
2141,Inactive,0
1986,Inactive,0
2230,Inactive,0
16231,Inconclusive,5
564,Inactive,0
135401907,Inconclusive,5
2157,Inconclusive,20
2119,Inconclusive,20
2123,Inactive,0
2196,Inactive,0
4768,Inactive,0
2471,Inactive,0
2351,Inconclusive,25
2284,Inactive,0
2369,Inactive,0
2477,Inactive,0
2717,Inactive,0
1687,Inconclusive,20
2765,Inactive,0
2708,Inactive,0
2578,Inactive,0
2754,Inactive,0
6241,Inactive,0
22420,Inactive,0
72276,Inconclusive,30
2727,Inconclusive,5
4211,Active,52
2554,Inactive,0
2733,Inconclusive,30
2756,Inactive,0
2720,Inactive,0
5309446,Inactive,0
