PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,,
1,103507642,3385,Active,,,,5.61,IC50,=,5610,nM,
2,336901505,127048516,Active,,,,39.21,IC50,=,39210,nM,
3,336901506,127048517,Unspecified,,,,91.13,IC50,=,91130,nM,
4,336901507,127048518,Active,,,,33.07,IC50,=,33070,nM,
5,336901508,127048519,Active,,,,21.31,IC50,=,21310,nM,
6,336901934,127048845,Active,,,,40.02,IC50,=,40020,nM,
7,336901935,127048846,Unspecified,,,,128,IC50,>,128000,nM,Outside typical range
8,336901936,127048847,Active,,,,30.13,IC50,=,30130,nM,
9,336902363,127049176,Active,,,,18.46,IC50,=,18460,nM,
10,336903264,127049832,Active,,,,45.61,IC50,=,45610,nM,
11,336903265,127049833,Active,,,,47.89,IC50,=,47890,nM,
12,336903687,127050126,Unspecified,,,,128,IC50,>,128000,nM,Outside typical range
13,336903703,127050140,Active,,,,43.71,IC50,=,43710,nM,
14,336903704,127050141,Active,,,,47.43,IC50,=,47430,nM,
15,336905439,127051367,Unspecified,,,,128,IC50,>,128000,nM,Outside typical range
16,336905790,127051641,Unspecified,,,,128,IC50,>,128000,nM,Outside typical range
17,336905791,127051642,Unspecified,,,,128,IC50,>,128000,nM,Outside typical range
18,336905792,127051643,Unspecified,,,,128,IC50,>,128000,nM,Outside typical range
19,336905866,127051702,Unspecified,,,,128,IC50,>,128000,nM,Outside typical range
20,336905867,127051703,Unspecified,,,,128,IC50,>,128000,nM,Outside typical range
21,336905868,127051704,Unspecified,,,,128,IC50,>,128000,nM,Outside typical range
22,336906245,127051977,Unspecified,,,,96.53,IC50,=,96530,nM,
23,336906246,127051978,Unspecified,,,,86.72,IC50,=,86720,nM,
24,336906247,127051979,Unspecified,,,,128,IC50,>,128000,nM,Outside typical range
25,336906248,127051980,Unspecified,,,,128,IC50,>,128000,nM,Outside typical range
26,336907590,127052923,Active,,,,9.57,IC50,=,9570,nM,
27,336907591,127052924,Active,,,,20.82,IC50,=,20820,nM,
