PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,312377862,118726130,Active,,,,46.5,IC50,=,46500,nM
2,312377863,118726131,Active,,,,0.9,IC50,=,900,nM
3,312377864,118726132,Unspecified,,,,88.8,IC50,=,88800,nM
4,312377865,118726133,Unspecified,,,,78.3,IC50,=,78300,nM
5,312377866,118726134,Unspecified,,,,79.8,IC50,=,79800,nM
6,312377867,118726135,Unspecified,,,,62.5,IC50,=,62500,nM
7,312377868,118726136,Unspecified,,,,60.5,IC50,=,60500,nM
8,312377869,118726137,Unspecified,,,,78.5,IC50,=,78500,nM
