PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103507642,3385,Active,,,,1.44,IC50,=,1440,nM
2,242444699,201327,Active,,,,41.89,IC50,=,41890,nM
3,336886758,127037874,Active,,,,0.98,IC50,=,980,nM
4,336888091,127038909,Active,,,,10.67,IC50,=,10670,nM
5,336888270,127039052,Active,,,,7.21,IC50,=,7210,nM
6,336888271,127039053,Active,,,,1.12,IC50,=,1120,nM
7,336888272,127039054,Unspecified,,,,50,IC50,>,50000,nM
8,336888273,127039055,Unspecified,,,,50,IC50,>,50000,nM
9,336892801,127042467,Active,,,,4.21,IC50,=,4210,nM
10,336892802,127042468,Unspecified,,,,50,IC50,>,50000,nM
11,336892803,127042469,Active,,,,0.47,IC50,=,470,nM
12,336892804,127042470,Active,,,,17.28,IC50,=,17280,nM
13,336893235,127042775,Active,,,,8.63,IC50,=,8630,nM
14,336893485,127042953,Unspecified,,,,50,IC50,>,50000,nM
