PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,,
1,103173891,94391,Unspecified,,,,84.53,IC50,=,84530,nM,
2,103507642,3385,Active,,,,36.04,IC50,=,36040,nM,
3,312366817,118719412,Active,,,,26.86,IC50,=,26860,nM,
4,312366818,118719413,Unspecified,,,,102.26,IC50,=,102260,nM,Outside typical range
5,312366819,118719414,Active,,,,17.61,IC50,=,17610,nM,
6,312366820,118719415,Active,,,,36.61,IC50,=,36610,nM,
7,312366821,118719416,Active,,,,36.12,IC50,=,36120,nM,
8,312374935,118724735,Active,,,,28.98,IC50,=,28980,nM,
9,312374936,118724736,Unspecified,,,,51.94,IC50,=,51940,nM,
10,312374937,118724737,Active,,,,33.84,IC50,=,33840,nM,
11,312374938,118724738,Unspecified,,,,85.4,IC50,=,85400,nM,
12,312374939,118724739,Unspecified,,,,100,IC50,>,100000,nM,
13,312374940,118724740,Active,,,,34.34,IC50,=,34340,nM,
14,312374941,118724741,Unspecified,,,,57.1,IC50,=,57100,nM,
15,312374942,118724742,Unspecified,,,,61.43,IC50,=,61430,nM,
16,312374943,118724743,Unspecified,,,,61.63,IC50,=,61630,nM,
17,312374944,118724744,Active,,,,34.32,IC50,=,34320,nM,
18,312374945,118724745,Active,,,,24.33,IC50,=,24330,nM,
19,312374946,118724746,Active,,,,49.97,IC50,=,49970,nM,
20,312374947,118724747,Active,,,,49.05,IC50,=,49050,nM,
21,312374948,118724748,Active,,,,23.41,IC50,=,23410,nM,
22,312374949,118724749,Unspecified,,,,54.59,IC50,=,54590,nM,
23,312374950,118724750,Active,,,,27.92,IC50,=,27920,nM,
24,312374951,118724751,Active,,,,41.34,IC50,=,41340,nM,
25,312374952,118724752,Active,,,,33.09,IC50,=,33090,nM,
26,312374953,118724753,Active,,,,30.99,IC50,=,30990,nM,
27,312374954,118724754,Active,,,,37.09,IC50,=,37090,nM,
28,312374955,118724755,Active,,,,32.05,IC50,=,32050,nM,
29,312374956,118724756,Active,,,,20.38,IC50,=,20380,nM,
30,312374957,118724757,Active,,,,44.8,IC50,=,44800,nM,
31,312374958,118724758,Active,,,,42.47,IC50,=,42470,nM,
32,312374959,118724759,Active,,,,23.37,IC50,=,23370,nM,
33,312374960,118724760,Unspecified,,,,58.61,IC50,=,58610,nM,
34,312374961,118724761,Active,,,,36.45,IC50,=,36450,nM,
