PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,,
1,103166269,6758,Active,,,,0.0051,IC50,=,5.1,nM,
2,103313732,6029,Inactive,,,Potential missing data,,Activity,,,,Not Active
3,103411950,44374350,Active,,,,0.00018,IC50,=,0.18,nM,
4,103682796,45268154,Active,,,,2.97,IC50,=,2970,nM,
5,103688084,15487888,Active,,,,15.1,IC50,=,15100,nM,
6,103693333,45273302,Active,,,,3.9,IC50,=,3900,nM,
