PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103168561,5351344,Active,,,,0.069,IC50,=,69,nM
2,374263968,134129879,Active,,,,8.12,IC50,=,8120,nM
3,374263987,134129890,Active,,,,15.84,IC50,=,15840,nM
4,374263994,134129896,Active,,,,9.33,IC50,=,9330,nM
5,374264163,134129961,Active,,,,4.57,IC50,=,4570,nM
6,374264172,134129968,Active,,,,15.88,IC50,=,15880,nM
7,374264192,134129978,Active,,,,13.45,IC50,=,13450,nM
8,374264289,134130065,Active,,,,11.53,IC50,=,11530,nM
9,374264480,134130174,Active,,,,10.82,IC50,=,10820,nM
10,374264502,134130191,Active,,,,7.58,IC50,=,7580,nM
11,374264520,134130209,Active,,,,10.2,IC50,=,10200,nM
12,374264525,132819944,Active,,,,1.14,IC50,=,1140,nM
13,374264534,134130221,Active,,,,5.67,IC50,=,5670,nM
14,374264645,134130290,Active,,,,11.74,IC50,=,11740,nM
15,374264748,134130368,Active,,,,11.84,IC50,=,11840,nM
16,374264780,134130395,Active,,,,14.79,IC50,=,14790,nM
17,374264794,134130406,Active,,,,15.89,IC50,=,15890,nM
18,374264820,134130424,Active,,,,0.7,IC50,=,700,nM
19,374264848,134130449,Active,,,,18.19,IC50,=,18190,nM
20,374265067,134130597,Active,,,,19.95,IC50,=,19950,nM
21,374265094,134130621,Active,,,,12.3,IC50,=,12300,nM
22,374265341,134130764,Active,,,,9.12,IC50,=,9120,nM
23,374265358,134130779,Active,,,,7.33,IC50,=,7330,nM
24,374265513,134130838,Active,,,,1.04,IC50,=,1040,nM
25,374265514,132819942,Active,,,,0.41,IC50,=,410,nM
26,374265576,134130887,Active,,,,8.21,IC50,=,8210,nM
27,374265626,134130931,Active,,,,18.62,IC50,=,18620,nM
28,374265643,134130946,Active,,,,11.6,IC50,=,11600,nM
29,374265650,134130951,Active,,,,14.79,IC50,=,14790,nM
30,374265812,132819941,Active,,,,0.28,IC50,=,280,nM
31,374265895,134131106,Active,,,,11.22,IC50,=,11220,nM
32,374266124,134131264,Active,,,,4.77,IC50,=,4770,nM
33,374266276,134131386,Active,,,,0.46,IC50,=,460,nM
34,374266292,134131398,Active,,,,7.24,IC50,=,7240,nM
35,374266294,134131400,Active,,,,10.21,IC50,=,10210,nM
36,374266560,134131582,Active,,,,14.16,IC50,=,14160,nM
37,374266578,132819940,Active,,,,0.48,IC50,=,480,nM
