PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103525989,10114,Active,,,,27.31,IC50,=,27310,nM
2,103612171,111253,Active,,,,18.57,IC50,=,18570,nM
3,103612247,44572791,Active,,,,24.28,IC50,=,24280,nM
4,103612455,44572989,Active,,,,20.72,IC50,=,20720,nM
5,103612458,44572992,Active,,,,9.41,IC50,=,9410,nM
6,103612459,44572993,Active,,,,13.12,IC50,=,13120,nM
7,103612461,44572995,Active,,,,2.34,IC50,=,2340,nM
8,103612462,44572996,Active,,,,17.47,IC50,=,17470,nM
9,103612463,44572997,Active,,,,3.31,IC50,=,3310,nM
10,134437012,56659723,Unspecified,,,,57.61,IC50,=,57610,nM
11,134437142,56659797,Active,,,,18.2,IC50,=,18200,nM
12,134437143,56659798,Active,,,,25.66,IC50,=,25660,nM
13,134437144,56659799,Active,,,,12.75,IC50,=,12750,nM
14,134437145,56659800,Unspecified,,,,50,IC50,>,50000,nM
15,134444828,56666697,Active,,,,30.12,IC50,=,30120,nM
16,134448606,21594141,Unspecified,,,,56.5,IC50,=,56500,nM
17,134448607,56670046,Unspecified,,,,73.54,IC50,=,73540,nM
18,134448762,56670115,Active,,,,25.3,IC50,=,25300,nM
19,134448763,56670116,Active,,,,31.35,IC50,=,31350,nM
20,134452481,56673562,Active,,,,20.23,IC50,=,20230,nM
21,134452628,56673633,Active,,,,27.76,IC50,=,27760,nM
22,134456435,56676955,Active,,,,19.44,IC50,=,19440,nM
23,134460233,56680274,Active,,,,42.74,IC50,=,42740,nM
24,134460234,56680275,Active,,,,49.39,IC50,=,49390,nM
25,134464045,56683598,Active,,,,29.17,IC50,=,29170,nM
26,134464046,56683599,Active,,,,4.76,IC50,=,4760,nM
27,134464047,56683600,Active,,,,15.95,IC50,=,15950,nM
