PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,,
1,103324264,10494,Unspecified,,,,429.9,IC50,=,429900,nM,Outside typical range
2,103479638,21599838,Active,,,,15.29,IC50,=,15290,nM,
3,103479653,73659,Active,,,,32.2,IC50,=,32200,nM,
4,103582220,14010966,Unspecified,,,,69.14,IC50,=,69140,nM,
5,103582430,151202,Unspecified,,,,148.48,IC50,=,148480,nM,Outside typical range
6,103589777,11753144,Unspecified,,,,67.08,IC50,=,67080,nM,
7,336901417,127048447,Active,,,,3.58,IC50,=,3580,nM,
8,336901418,127048448,Unspecified,,,,61.58,IC50,=,61580,nM,
9,336901419,127048449,Unspecified,,,,138.26,IC50,=,138260,nM,Outside typical range
10,336902064,127048950,Active,,,,13.49,IC50,=,13490,nM,
11,336902280,127049116,Active,,,,31.6,IC50,=,31600,nM,
12,336902281,127049117,Unspecified,,,,130.49,IC50,=,130490,nM,Outside typical range
13,336902447,127049241,Unspecified,,,,83.21,IC50,=,83210,nM,
14,336902902,127049570,Unspecified,,,,85.62,IC50,=,85620,nM,
15,336903784,127050197,Unspecified,,,,64.35,IC50,=,64350,nM,
16,336906771,127052358,Unspecified,,,,82.76,IC50,=,82760,nM,
17,336906795,127052377,Active,,,,39.7,IC50,=,39700,nM,
18,336906796,127052378,Active,,,,11.78,IC50,=,11780,nM,
