PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,,
1,103223867,460612,Active,,,,4.85,IC50,=,4850,nM,
2,103340697,5281767,Active,,,,15.1,IC50,=,15100,nM,
3,160699116,54753797,Active,,,,4.46,IC50,=,4460,nM,
4,174486337,71699537,Active,,,,9.09,IC50,=,9090,nM,
5,174491343,73347407,Active,,,,30.4,IC50,=,30400,nM,
6,174496383,71698345,Unspecified,,,,297,IC50,=,297000,nM,Outside typical range
7,174501650,71699612,Active,,,,6.31,IC50,=,6310,nM,
8,174501651,73350499,Active,,,,0.378,IC50,=,378,nM,
9,174506836,71699538,Active,,,,0.547,IC50,=,547,nM,
10,174506837,73352015,Active,,,,42,IC50,=,42000,nM,
11,174506838,71699540,Active,,,,0.422,IC50,=,422,nM,
12,174506839,73352016,Active,,,,1.23,IC50,=,1230,nM,
13,174506840,73352017,Active,,,,0.214,IC50,=,214,nM,
14,174506842,73352019,Active,,,,2.98,IC50,=,2980,nM,
15,174511971,73353478,Active,,,,5.38,IC50,=,5380,nM,
16,174517035,71699611,Unspecified,,,,202,IC50,=,202000,nM,Outside typical range
17,174517036,73354978,Unspecified,,,,500,IC50,>,500000,nM,Outside typical range
18,174522214,73356538,Active,,,,0.847,IC50,=,847,nM,
19,174522215,73356539,Active,,,,11,IC50,=,11000,nM,
20,312348076,71699613,Active,,,,0.182,IC50,=,182,nM,
