PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,,
1,103176321,5746,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
2,103507642,3385,Active,,,,1.3,IC50,=,1300,nM,
3,124974065,36314,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
4,312356708,15781473,Active,,,,33.7,IC50,=,33700,nM,
5,312356709,85912661,Active,,,,5.54,IC50,=,5540,nM,
6,312356710,118712997,Active,,,,6.21,IC50,=,6210,nM,
7,312356711,15192418,Active,,,,19.5,IC50,=,19500,nM,
8,312356712,118712998,Active,,,,23.4,IC50,=,23400,nM,
9,312356713,118712999,Active,,,,28.8,IC50,=,28800,nM,
10,312356714,85912744,Active,,,,26,IC50,=,26000,nM,
11,312356715,118713000,Unspecified,,,,89,IC50,=,89000,nM,
12,312356716,118713001,Active,,,,44,IC50,=,44000,nM,
13,312356717,118713002,Unspecified,,,,87,IC50,=,87000,nM,
14,312356718,118713003,Unspecified,,,,91,IC50,=,91000,nM,
15,312356719,118713004,Unspecified,,,,91,IC50,=,91000,nM,
16,312356720,118713005,Unspecified,,,,88,IC50,=,88000,nM,
17,312356760,118713014,Unspecified,,,,52,IC50,=,52000,nM,
18,312356761,118713015,Unspecified,,,,94,IC50,=,94000,nM,
19,312356762,118713016,Unspecified,,,,98,IC50,=,98000,nM,
