PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,,
1,103621578,20080882,Active,,,,3,IC50,=,3000,nM,
2,103621581,9887751,Active,,,,7,IC50,=,7000,nM,
3,124964264,23651142,Active,,,,2,IC50,=,2000,nM,
4,134439044,23651143,Active,,,,3,IC50,=,3000,nM,
5,134439045,56662007,Unspecified,,,,250,IC50,>,250000,nM,Outside typical range
6,134446814,23651289,Unspecified,,,,120,IC50,=,120000,nM,Outside typical range
7,134446815,56668925,Unspecified,,,,250,IC50,>,250000,nM,Outside typical range
8,134450756,56672405,Unspecified,,,,250,IC50,>,250000,nM,Outside typical range
9,134450757,56672406,Unspecified,,,,250,IC50,>,250000,nM,Outside typical range
10,134454558,56675789,Unspecified,,,,250,IC50,>,250000,nM,Outside typical range
11,134458381,56679104,Unspecified,,,,250,IC50,>,250000,nM,Outside typical range
12,134462151,56682404,Unspecified,,,,250,IC50,>,250000,nM,Outside typical range
13,134464371,56683755,Unspecified,,,,250,IC50,>,250000,nM,Outside typical range
14,134464372,23651288,Unspecified,,,,130,IC50,=,130000,nM,Outside typical range
