PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,,
1,103173891,94391,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
2,103507642,3385,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
3,312366817,118719412,Active,,,,48.2,IC50,=,48200,nM,
4,312366818,118719413,Unspecified,,,,60.82,IC50,=,60820,nM,
5,312366819,118719414,Unspecified,,,,57.89,IC50,=,57890,nM,
6,312366820,118719415,Active,,,,49.56,IC50,=,49560,nM,
7,312366821,118719416,Unspecified,,,,56.25,IC50,=,56250,nM,
8,312374935,118724735,Unspecified,,,,51.59,IC50,=,51590,nM,
9,312374936,118724736,Unspecified,,,,53.27,IC50,=,53270,nM,
10,312374937,118724737,Unspecified,,,,57.46,IC50,=,57460,nM,
11,312374938,118724738,Unspecified,,,,55.69,IC50,=,55690,nM,
12,312374939,118724739,Unspecified,,,,59.61,IC50,=,59610,nM,
13,312374940,118724740,Unspecified,,,,55.41,IC50,=,55410,nM,
14,312374941,118724741,Active,,,,47.57,IC50,=,47570,nM,
15,312374942,118724742,Unspecified,,,,53.31,IC50,=,53310,nM,
16,312374943,118724743,Unspecified,,,,66.45,IC50,=,66450,nM,
17,312374944,118724744,Unspecified,,,,52.42,IC50,=,52420,nM,
18,312374945,118724745,Unspecified,,,,53.78,IC50,=,53780,nM,
19,312374946,118724746,Active,,,,46.54,IC50,=,46540,nM,
20,312374947,118724747,Unspecified,,,,57.82,IC50,=,57820,nM,
21,312374948,118724748,Unspecified,,,,76.32,IC50,=,76320,nM,
22,312374949,118724749,Unspecified,,,,69.46,IC50,=,69460,nM,
23,312374950,118724750,Unspecified,,,,57.41,IC50,=,57410,nM,
24,312374951,118724751,Active,,,,45.89,IC50,=,45890,nM,
25,312374952,118724752,Active,,,,48.2,IC50,=,48200,nM,
26,312374953,118724753,Unspecified,,,,58.76,IC50,=,58760,nM,
27,312374954,118724754,Unspecified,,,,57.89,IC50,=,57890,nM,
28,312374955,118724755,Active,,,,49.56,IC50,=,49560,nM,
29,312374956,118724756,Unspecified,,,,56.25,IC50,=,56250,nM,
30,312374957,118724757,Unspecified,,,,57.53,IC50,=,57530,nM,
31,312374958,118724758,Unspecified,,,,54.83,IC50,=,54830,nM,
32,312374959,118724759,Active,,,,49.67,IC50,=,49670,nM,
33,312374960,118724760,Unspecified,,,,53.77,IC50,=,53770,nM,
34,312374961,118724761,Active,,,,45.89,IC50,=,45890,nM,
