PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103507642,3385,Active,,,,46.93,IC50,=,46930,nM
2,103570603,119034,Active,,,,22.57,IC50,=,22570,nM
3,312356170,118712604,Active,,,,19.91,IC50,=,19910,nM
4,312356171,118712605,Active,,,,14.33,IC50,=,14330,nM
5,312356172,118712606,Active,,,,26.59,IC50,=,26590,nM
6,312356173,118712607,Active,,,,19.44,IC50,=,19440,nM
7,312356174,118712608,Active,,,,22.5,IC50,=,22500,nM
8,312356175,118712609,Active,,,,15.52,IC50,=,15520,nM
9,312356176,118712610,Active,,,,20.59,IC50,=,20590,nM
10,312356177,118712611,Active,,,,21.18,IC50,=,21180,nM
11,312356178,118712612,Active,,,,14.61,IC50,=,14610,nM
12,312356179,118712613,Active,,,,18.96,IC50,=,18960,nM
13,312356180,118712614,Active,,,,24.31,IC50,=,24310,nM
14,312356181,118712615,Active,,,,30.07,IC50,=,30070,nM
15,312356182,118712616,Active,,,,14.09,IC50,=,14090,nM
16,312356183,118712617,Active,,,,20.08,IC50,=,20080,nM
17,312356184,118712618,Active,,,,13.94,IC50,=,13940,nM
18,312356185,118712619,Active,,,,16.03,IC50,=,16030,nM
19,312356186,118712620,Active,,,,14.63,IC50,=,14630,nM
20,312356187,118712621,Active,,,,20.66,IC50,=,20660,nM
21,312356188,118712622,Active,,,,19.88,IC50,=,19880,nM
22,312356189,118712623,Unspecified,,,,100,IC50,=,100000,nM
