PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,123097261,31703,Active,,,,0.93,IC50,=,930,nM
2,318393785,122193081,Active,,,,22.88,IC50,=,22880,nM
3,318393786,122193082,Active,,,,30.9,IC50,=,30900,nM
4,318393787,122193083,Active,,,,36.6,IC50,=,36600,nM
5,318393788,122193084,Active,,,,18.94,IC50,=,18940,nM
6,318393789,122193085,Unspecified,,,,50.11,IC50,=,50110,nM
7,318393790,122193086,Active,,,,26.91,IC50,=,26910,nM
8,318393791,122193087,Active,,,,2.29,IC50,=,2290,nM
9,318393792,122193088,Active,,,,23.44,IC50,=,23440,nM
10,318393793,122193089,Active,,,,2.75,IC50,=,2750,nM
11,318395566,122194578,Active,,,,23.72,IC50,=,23720,nM
12,318395567,122194579,Active,,,,3.89,IC50,=,3890,nM
13,318395568,122194580,Active,,,,14.69,IC50,=,14690,nM
14,318395569,122194581,Active,,,,17.96,IC50,=,17960,nM
15,318395570,122194582,Active,,,,25.11,IC50,=,25110,nM
16,318395571,122194583,Active,,,,7.24,IC50,=,7240,nM
17,318395572,122194584,Active,,,,8.51,IC50,=,8510,nM
18,318395573,122194585,Active,,,,25.06,IC50,=,25060,nM
19,318395574,122194586,Unspecified,,,,79.43,IC50,=,79430,nM
20,318395575,122194587,Unspecified,,,,100,IC50,>,100000,nM
21,318395576,122194588,Active,,,,9.92,IC50,=,9920,nM
22,318395577,122194589,Active,,,,9.54,IC50,=,9540,nM
23,318395578,122194590,Active,,,,5.01,IC50,=,5010,nM
24,318395579,122194591,Active,,,,2.95,IC50,=,2950,nM
25,318395580,122194592,Active,,,,16.1,IC50,=,16100,nM
26,318395581,122194593,Unspecified,,,,100,IC50,>,100000,nM
27,318395582,122194594,Active,,,,23.95,IC50,=,23950,nM
28,318395583,122194595,Active,,,,19.74,IC50,=,19740,nM
29,318395584,122194596,Active,,,,8.51,IC50,=,8510,nM
30,318395585,122194597,Active,,,,13.19,IC50,=,13190,nM
31,318395586,122194598,Active,,,,1.87,IC50,=,1870,nM
32,318395587,122194599,Active,,,,33.71,IC50,=,33710,nM
33,318395588,122194600,Unspecified,,,,79.43,IC50,=,79430,nM
34,318395589,122194601,Active,,,,8.47,IC50,=,8470,nM
35,318395590,122194602,Active,,,,42.65,IC50,=,42650,nM
