PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103170100,2733526,Active,,,,19.3,GI50,=,19300,nM
2,123097261,31703,Active,,,,0.95,GI50,=,950,nM
3,312373359,118723713,Active,,,,2.7,GI50,=,2700,nM
4,312373360,118723714,Active,,,,1.9,GI50,=,1900,nM
5,312373361,118723715,Active,,,,4.1,GI50,=,4100,nM
6,312373362,118723716,Active,,,,2.4,GI50,=,2400,nM
7,312373364,118723718,Active,,,,0.9,GI50,=,900,nM
8,312373368,118723722,Active,,,,4.8,GI50,=,4800,nM
9,312373889,118724066,Active,,,,4,GI50,=,4000,nM
10,318385580,122187186,Active,,,,4.3,GI50,=,4300,nM
11,318385581,122187187,Active,,,,11.5,GI50,=,11500,nM
12,318385582,122187188,Active,,,,9,GI50,=,9000,nM
13,318385583,122187189,Active,,,,17.6,GI50,=,17600,nM
14,318385584,122187190,Active,,,,6.3,GI50,=,6300,nM
15,318385585,122187191,Active,,,,15.5,GI50,=,15500,nM
16,318385586,122187192,Active,,,,8.2,GI50,=,8200,nM
17,318385587,122187193,Active,,,,16.3,GI50,=,16300,nM
18,318385588,122187194,Active,,,,14,GI50,=,14000,nM
19,318385589,122187195,Unspecified,,,,91.2,GI50,=,91200,nM
20,318385590,122187196,Unspecified,,,,62.7,GI50,=,62700,nM
21,318385591,122187197,Active,,,,18.2,GI50,=,18200,nM
22,318385592,122187198,Active,,,,11.6,GI50,=,11600,nM
23,318385593,122187199,Unspecified,,,,55.7,GI50,=,55700,nM
24,318385594,122187200,Active,,,,12.1,GI50,=,12100,nM
25,318385595,122187201,Active,,,,26.4,GI50,=,26400,nM
