PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103235497,135413511,Active,,,,5.2,IC50,=,5200,nM
2,103441765,135483605,Active,,,,2.4,IC50,=,2400,nM
3,103495493,136043839,Active,,,,10.6,IC50,=,10600,nM
4,103495516,136043840,Active,,,,4.7,IC50,=,4700,nM
5,103495517,136043841,Active,,,,11.2,IC50,=,11200,nM
6,103495519,135556245,Active,,,,1.9,IC50,=,1900,nM
7,103495520,136043842,Active,,,,2.2,IC50,=,2200,nM
8,103495521,136043843,Active,,,,3.1,IC50,=,3100,nM
9,103495544,135460927,Active,,,,3.7,IC50,=,3700,nM
10,103495546,136043844,Active,,,,6.6,IC50,=,6600,nM
11,103495547,44414727,Unspecified,,,,55,IC50,>,55000,nM
12,103495571,135556244,Active,,,,2.6,IC50,=,2600,nM
13,103495734,135455643,Active,,,,4.5,IC50,=,4500,nM
14,103495741,136043845,Active,,,,2.5,IC50,=,2500,nM
15,103495771,135433836,Active,,,,2.9,IC50,=,2900,nM
16,103495800,44414854,Unspecified,,,,47,IC50,>,47000,nM
