PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103168561,5351344,Active,,,,0.052,IC50,=,52,nM
2,312358517,118714211,Active,,,,1.862,IC50,=,1862,nM
3,312358518,118714212,Active,,,,2.5,IC50,=,2500,nM
4,312358519,118714213,Active,,,,2.137,IC50,=,2137,nM
5,312358520,101913673,Active,,,,0.053,IC50,=,53,nM
6,312358521,118714214,Active,,,,0.089,IC50,=,89,nM
7,312358522,118714215,Active,,,,0.406,IC50,=,406,nM
8,312358523,118714216,Active,,,,2.679,IC50,=,2679,nM
9,312358524,101913674,Active,,,,0.044,IC50,=,44,nM
10,312358525,118714217,Active,,,,0.066,IC50,=,66,nM
11,312358526,118714218,Active,,,,0.181,IC50,=,181,nM
12,312358527,137100884,Active,,,,1.622,IC50,=,1622,nM
13,312358528,137100885,Active,,,,3.631,IC50,=,3631,nM
14,312358529,137100886,Active,,,,1.452,IC50,=,1452,nM
15,312358530,137100887,Active,,,,0.568,IC50,=,568,nM
16,312358531,137100888,Active,,,,0.83,IC50,=,830,nM
