PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,,
1,123083329,49831172,Active,,,,27,IC50,=,27000,nM,
2,123083381,5582720,Unspecified,,,,122,IC50,>,122000,nM,Outside typical range
3,123087934,5917788,Active,,,,10,IC50,=,10000,nM,
4,123090277,5937000,Active,,,,46.3,IC50,=,46300,nM,
5,123090278,49831174,Active,,,,35.7,IC50,=,35700,nM,
6,123090636,52944403,Active,,,,17.9,IC50,=,17900,nM,
7,123092575,12909236,Active,,,,24.1,IC50,=,24100,nM,
8,123092577,49831173,Active,,,,30,IC50,=,30000,nM,
9,123092578,13166118,Active,,,,20.3,IC50,=,20300,nM,
10,123094836,7266447,Active,,,,23.1,IC50,=,23100,nM,
11,123094841,12909232,Active,,,,18.2,IC50,=,18200,nM,
12,123097148,52947899,Active,,,,28.2,IC50,=,28200,nM,
13,123099210,5539063,Unspecified,,,,140,IC50,>,140000,nM,Outside typical range
