PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,194136454,76308850,Active,,,,0.53,IC50,=,530,nM
2,194136455,67110937,Active,,,,2,IC50,=,2000,nM
3,194143344,76312553,Active,,,,0.63,IC50,=,630,nM
4,194150123,76316054,Active,,,,0.088,IC50,=,88,nM
5,194164084,76323409,Active,,,,0.84,IC50,=,840,nM
6,194164085,76323410,Active,,,,6.2,IC50,=,6200,nM
7,194177804,76330652,Active,,,,0.76,IC50,=,760,nM
8,194184619,76334248,Active,,,,0.61,IC50,=,610,nM
