PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103536526,6324616,Active,,,,21.4,GI50,=,21400,nM
2,312358659,118714319,Active,,,,5,GI50,=,5000,nM
3,312358659,118714319,Active,,,,13.8,TGI,=,13800,nM
4,312358659,118714319,Active,,,,34.7,LC50,=,34700,nM
5,312358660,118714320,Active,,,,3.4,GI50,=,3400,nM
6,312358660,118714320,Active,,,,47.9,TGI,=,47900,nM
7,312358661,39198146,Active,,,,2.9,GI50,=,2900,nM
8,312358661,39198146,Active,,,,26.9,TGI,=,26900,nM
