PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103536924,73588,Active,,,,9.6,IC50,=,9600,nM
2,103654597,44592813,Active,,,,7.2,IC50,=,7200,nM
3,123087629,14467636,Unspecified,,,,30,IC50,>,30000,nM
4,134436200,15386508,Unspecified,,,,30,IC50,>,30000,nM
5,134443933,442084,Unspecified,,,,30,IC50,>,30000,nM
6,134459356,56679842,Unspecified,,,,30,IC50,>,30000,nM
7,163325423,2751798,Active,,,,29.1,IC50,=,29100,nM
8,163325424,46830377,Active,,,,7.2,IC50,=,7200,nM
9,163335819,25211156,Active,,,,4,IC50,=,4000,nM
10,174488242,73346204,Active,,,,9,IC50,=,9000,nM
11,174488243,73346205,Unspecified,,,,30,IC50,>,30000,nM
12,174493270,1023607,Unspecified,,,,30,IC50,>,30000,nM
13,174493271,23252567,Active,,,,24.1,IC50,=,24100,nM
14,174493272,73347717,Unspecified,,,,30,IC50,>,30000,nM
15,174493273,11750829,Active,,,,16.2,IC50,=,16200,nM
16,174493274,73347718,Unspecified,,,,30,IC50,>,30000,nM
17,174493275,73347719,Unspecified,,,,30,IC50,>,30000,nM
18,174498434,72549723,Active,,,,3.6,IC50,=,3600,nM
19,174498435,73349245,Unspecified,,,,30,IC50,>,30000,nM
20,174498436,73349246,Unspecified,,,,30,IC50,>,30000,nM
21,174498437,73349247,Unspecified,,,,30,IC50,>,30000,nM
22,174503680,73350828,Active,,,,5.7,IC50,=,5700,nM
23,174505182,333723,Active,,,,10,IC50,=,10000,nM
24,174513992,49777789,Active,,,,3.1,IC50,=,3100,nM
25,174513993,49777795,Active,,,,8.1,IC50,=,8100,nM
26,174513994,73353787,Active,,,,27.4,IC50,=,27400,nM
27,174513995,73353788,Unspecified,,,,30,IC50,>,30000,nM
28,174518999,10766222,Active,,,,9.9,IC50,=,9900,nM
29,174524245,72549722,Active,,,,6.7,IC50,=,6700,nM
30,174524246,73356863,Unspecified,,,,30,IC50,>,30000,nM
