PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,,
1,103507642,3385,Active,,,,7.35,IC50,=,7350,nM,
2,374263984,137317282,Active,,,,34.99,IC50,=,34990,nM,
3,374264000,137317283,Active,,,,3.71,IC50,=,3710,nM,
4,374264263,137317290,Active,,,,7.41,IC50,=,7410,nM,
5,374264284,134130060,Active,,,,7.62,IC50,=,7620,nM,
6,374264440,137317292,Active,,,,10.51,IC50,=,10510,nM,
7,374264486,137317294,Active,,,,7.1,IC50,=,7100,nM,
8,374264516,134130205,Active,,,,38.09,IC50,=,38090,nM,
9,374264610,134130261,Active,,,,13.14,IC50,=,13140,nM,
10,374264656,134130299,Active,,,,34.89,IC50,=,34890,nM,
11,374264743,137317299,Active,,,,16.38,IC50,=,16380,nM,
12,374264768,137317300,Active,,,,7.68,IC50,=,7680,nM,
13,374264776,137317301,Active,,,,3.82,IC50,=,3820,nM,
14,374264788,134130400,Unspecified,,,,64,IC50,>,64000,nM,
15,374264814,134130421,Active,,,,6.02,IC50,=,6020,nM,
16,374264949,137317302,Active,,,,16.72,IC50,=,16720,nM,
17,374265090,137317306,Active,,,,10.98,IC50,=,10980,nM,
18,374265291,134130720,Active,,,,1.32,IC50,=,1320,nM,
19,374265366,134130786,Active,,,,10.05,IC50,=,10050,nM,
20,374265368,134130788,Active,,,,9.41,IC50,=,9410,nM,
21,374265516,134130840,Unspecified,,,,64,IC50,>,64000,nM,
22,374265612,134130918,Active,,,,10.91,IC50,=,10910,nM,
23,374265625,137317312,Active,,,,47.14,IC50,=,47140,nM,
24,374265627,137317313,Active,,,,4.76,IC50,=,4760,nM,
25,374265656,134130955,Unspecified,,,,64,IC50,>,64000,nM,
26,374265782,137317318,Active,,,,0.85,IC50,=,850,nM,
27,374265782,137317318,Unspecified,,,Potential missing data,,Activity,,,,Dose-dependent effect
28,374265784,134131019,Active,,,,25.44,IC50,=,25440,nM,
29,374265871,134131091,Unspecified,,,,64,IC50,>,64000,nM,
30,374265976,137317320,Active,,,,2.31,IC50,=,2310,nM,
31,374266017,134131194,Active,,,,44.27,IC50,=,44270,nM,
32,374266086,134131233,Unspecified,,,,64,IC50,>,64000,nM,
33,374266186,137317324,Active,,,,6.5,IC50,=,6500,nM,
34,374266298,134131402,Unspecified,,,,64,IC50,>,64000,nM,
35,374266459,134131499,Active,,,,4.67,IC50,=,4670,nM,
36,374266485,137317332,Active,,,,11.28,IC50,=,11280,nM,
