PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,,
1,103178476,31593,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
2,103186893,3599,Active,,,,17,IC50,=,17000,nM,
3,374266953,134131693,Active,,,,19,IC50,=,19000,nM,
4,374271519,134132947,Active,,,,5,IC50,=,5000,nM,
5,374275568,134134004,Unspecified,,,,100,IC50,>,100000,nM,
6,374281497,134135672,Active,,,,5,IC50,=,5000,nM,
7,374286060,11374676,Active,,,,24,IC50,=,24000,nM,
8,374289661,134137834,Unspecified,,,,100,IC50,>,100000,nM,
9,374292430,134138614,Unspecified,,,,100,IC50,>,100000,nM,
10,374292837,134138732,Active,,,,18,IC50,=,18000,nM,
11,374298052,134140136,Active,,,,8,IC50,=,8000,nM,
12,374303515,134141662,Unspecified,,,,100,IC50,>,100000,nM,
13,374305063,134142085,Active,,,,49,IC50,=,49000,nM,
14,374308756,134143123,Active,,,,0.8,IC50,=,800,nM,
15,374311080,134143783,Unspecified,,,,100,IC50,>,100000,nM,
16,374311813,134144012,Unspecified,,,,100,IC50,>,100000,nM,
17,374317820,134145662,Unspecified,,,,100,IC50,>,100000,nM,
18,374318221,10596830,Unspecified,,,,100,IC50,>,100000,nM,
19,374339703,134151797,Unspecified,,,,100,IC50,>,100000,nM,
20,374345183,15386544,Active,,,,2,IC50,=,2000,nM,
