PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,,
1,103507642,3385,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
2,242444699,201327,Unspecified,,,,50,IC50,>,50000,nM,
3,336886758,127037874,Active,,,,16.51,IC50,=,16510,nM,
4,336888091,127038909,Active,,,,10.19,IC50,=,10190,nM,
5,336888270,127039052,Active,,,,3.53,IC50,=,3530,nM,
6,336888271,127039053,Active,,,,2.31,IC50,=,2310,nM,
7,336888272,127039054,Active,,,,0.43,IC50,=,430,nM,
8,336888273,127039055,Active,,,,3.5,IC50,=,3500,nM,
9,336892801,127042467,Active,,,,0.73,IC50,=,730,nM,
10,336892802,127042468,Active,,,,42.62,IC50,=,42620,nM,
11,336892803,127042469,Active,,,,1.52,IC50,=,1520,nM,
12,336892804,127042470,Active,,,,4.08,IC50,=,4080,nM,
13,336893235,127042775,Unspecified,,,,50,IC50,>,50000,nM,
14,336893485,127042953,Unspecified,,,,50,IC50,>,50000,nM,
