PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,,
1,103175813,5329102,Active,,,,10.4,IC50,=,10400,nM,
2,374264205,134129989,Unspecified,,,,50,IC50,>,50000,nM,
3,374264276,134130055,Active,,,,22.01,IC50,=,22010,nM,
4,374264392,134130101,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
5,374264461,134130155,Active,,,,7.7,IC50,=,7700,nM,
6,374264612,134130263,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
7,374264764,134130382,Unspecified,,,,50,IC50,>,50000,nM,
8,374264778,134130393,Active,,,,33.8,IC50,=,33800,nM,
9,374264840,134130444,Unspecified,,,,50,IC50,>,50000,nM,
10,374265012,134130550,Unspecified,,,,50,IC50,>,50000,nM,
11,374265206,83525305,Unspecified,,,,50,IC50,>,50000,nM,
12,374265220,134130677,Active,,,,4.28,IC50,=,4280,nM,
13,374265249,134130691,Unspecified,,,,50,IC50,>,50000,nM,
14,374265606,134130911,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
15,374265820,134131048,Unspecified,,,,50,IC50,>,50000,nM,
16,374265938,134131142,Unspecified,,,,50,IC50,>,50000,nM,
17,374266045,134131211,Unspecified,,,,50,IC50,>,50000,nM,
18,374266141,134131279,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
19,374266251,134131368,Active,,,,32.33,IC50,=,32330,nM,
20,374266434,134131477,Active,,,,32.8,IC50,=,32800,nM,
21,374266542,134131566,Unspecified,,,,50,IC50,>,50000,nM,
