PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,W590-Activity_Score,W590-Curve_Description,W590-Fit_LogAC50,W590-Fit_HillSlope,W590-Fit_R2,W590-Fit_InfiniteActivity,W590-Fit_ZeroActivity,W590-Fit_CurveClass,W590-Excluded_Points,W590-Max_Response,W590-Activity at 0.0005898618 uM,W590-Activity at 0.00295 uM,W590-Activity at 0.015 uM,W590-Activity at 0.033 uM,W590-Activity at 0.074 uM,W590-Activity at 0.165 uM,W590-Activity at 0.369 uM,W590-Activity at 0.825 uM,W590-Activity at 1.843 uM,W590-Activity at 4.120 uM,W590-Activity at 9.217 uM,W590-Activity at 20.60 uM,W590-Activity at 46.08 uM,W590-Activity at 92.17 uM,Ratio-Activity_Score,Ratio-Curve_Description,Ratio-Fit_LogAC50,Ratio-Fit_HillSlope,Ratio-Fit_R2,Ratio-Fit_InfiniteActivity,Ratio-Fit_ZeroActivity,Ratio-Fit_CurveClass,Ratio-Excluded_Points,Ratio-Max_Response,Ratio-Activity at 0.0005899000 uM,Ratio-Activity at 0.00295 uM,Ratio-Activity at 0.015 uM,Ratio-Activity at 0.033 uM,Ratio-Activity at 0.074 uM,Ratio-Activity at 0.165 uM,Ratio-Activity at 0.369 uM,Ratio-Activity at 0.824 uM,Ratio-Activity at 1.843 uM,Ratio-Activity at 4.122 uM,Ratio-Activity at 9.217 uM,Ratio-Activity at 20.61 uM,Ratio-Activity at 46.08 uM,Ratio-Activity at 92.17 uM,W535-Activity_Score,W535-Curve_Description,W535-Fit_LogAC50,W535-Fit_HillSlope,W535-Fit_R2,W535-Fit_InfiniteActivity,W535-Fit_ZeroActivity,W535-Fit_CurveClass,W535-Excluded_Points,W535-Max_Response,W535-Activity at 0.0005898618 uM,W535-Activity at 0.00295 uM,W535-Activity at 0.015 uM,W535-Activity at 0.033 uM,W535-Activity at 0.074 uM,W535-Activity at 0.165 uM,W535-Activity at 0.369 uM,W535-Activity at 0.825 uM,W535-Activity at 1.843 uM,W535-Activity at 4.120 uM,W535-Activity at 9.217 uM,W535-Activity at 20.60 uM,W535-Activity at 46.08 uM,W535-Activity at 92.17 uM,Compound QC
RESULT_TYPE,,,,,,,STRING,FLOAT,FLOAT,STRING,INTEGER,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,"Indicates type of activity observed: inhibitor, activator, fluorescent, cytotoxic, inactive, or inconclusive.","Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Annotation/notes on a particular compound's data or its analysis.,Activity score.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,Activity score.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,Activity score.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"NCGC designation for data stage: &apos;qHTS&apos;, &apos;qHTS Verification&apos;, &apos;Secondary Profiling&apos;"
RESULT_UNIT,,,,,,,NONE,MICROMOLAR,PERCENT,NONE,NONE,NONE,NONE,NONE,NONE,PERCENT,PERCENT,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,NONE,NONE,NONE,NONE,PERCENT,PERCENT,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,NONE,NONE,NONE,NONE,PERCENT,PERCENT,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,,,,0.000589862,0.00294931,0.0147465,0.0329954,0.0737327,0.164977,0.368664,0.824885,1.84332,4.11982,9.21659,20.5991,46.0829,92.1659,,,,,,,,,,,0.0005899,0.002949,0.01475,0.03297,0.07373,0.1649,0.3687,0.8244,1.843,4.122,9.217,20.61,46.08,92.17,,,,,,,,,,,0.000589862,0.00294931,0.0147465,0.0329954,0.0737327,0.164977,0.368664,0.824885,1.84332,4.11982,9.21659,20.5991,46.0829,92.1659,
1,17388662,26041,Active,43,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB07944716-01/37856762,,Inhibitor,1.3333,42.0288,,0,Complete curve; partial efficacy,-5.85,4.5045,0.9285,-49.7387,-4.7519,-1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 1,-22.0931,-3.3418,-3.0994,-3.4237,-11.918,-3.1251,-2.6592,-4.3127,-8.5313,-37.3588,-58.2677,-57.9434,-50.2924,-34.7062,-22.0931,0,Complete curve; partial efficacy,-5.8751,3.9295,0.8741,-43.3587,-1.3299,-1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-24.8755,-1.0572,-0.4834,-0.7667,-4.9713,-0.7524,-0.2286,-1.0464,-5.3689,-33.0192,-55.6618,-55.7842,-46.9469,-33.3339,-24.8755,10,,-4.2,1.331,0.8503,12,-0.2734,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,7.9599,0.2188,0.14,0.0577,-1.43,-1.1179,-0.3244,0.0404,-1.2638,-0.2972,-1.4778,3.0037,0.9069,4.1799,7.9599,QC'd by NIEHS/NTP
2,17388663,5281576,Active,40,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB07930229-01/37857234,,Inhibitor,33.4915,112.709,,0,Partial curve; high efficacy,-4.4,1.7529,0.9475,-115.846,1.7062,-2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-101.278,7.9562,-7.304,1.3853,-7.442,4.4436,6.4021,-3.2324,-0.4745,12.4691,10.4921,-16.5041,-26.2139,-59.7868,-101.278,0,Partial curve; high efficacy,-4.4751,1.6924,0.9434,-108.177,4.5315,-2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-95.9019,6.544,3.7867,6.31,-2.7232,5.97,2.6233,-6.2197,1.1726,17.3856,13.9648,-18.0203,-27.845,-60.1098,-95.9019,10,,-4.5,0.8,0.8232,26,-1.8559,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,18.6075,1.0207,-8.2132,-2.2385,-2.6946,-1.6048,-0.2956,6.0885,-0.4557,-1.4348,1.3099,7.5645,8.4955,12.9852,18.6075,QC'd by NIEHS/NTP
3,17388664,5281575,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB13681038-01/37856907,,Inactive,,,,0,,,,,,,4,,-9.3878,-0.2194,4.6649,-6.7975,-8.1712,5.2292,6.0528,8.3777,-2.6319,-2.049,1.3183,2.4487,-2.14,-2.8248,-9.3878,10,,,,,,,4,,-3.0435,-0.99,6.9593,-3.7313,-1.8802,5.5434,7.158,11.9796,-0.1468,-1.1064,1.8312,-0.8824,0.0422,-1.0932,-3.0435,10,,-4.1,1.1105,0.5838,-8.0069,0.5,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-5.0057,0.3862,-0.1271,-0.1397,-1.0528,1.5434,-0.118,1.1013,-0.5769,2.4754,-0.8388,-0.0449,-2.5706,-0.8506,-5.0057,QC'd by NIEHS/NTP
4,17388665,5280795,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB07944741-01/37857133,,Inactive,,,,0,,-4.85,0.9,0.6503,-20.3052,-3,4,0 0 0 0 0 0 1 0 0 0 1 0 0 0,-14.3799,-4.9203,-2.2987,3.2339,-2.8882,-8.6728,-5.132,26.368,-2.6342,-9.6227,-0.2828,57.5116,-16.4548,-18.5876,-14.3799,10,,,,,,,4,,-0.003,1.7825,-3.9064,0.0135,-4.6504,-1.5851,1.0249,31.3846,-4.4034,-4.7088,0.1597,65.4963,-2.2254,-3.5505,-0.003,10,,-4.7,1,0.8291,-8.9216,-1.9187,4,0 0 0 0 0 0 0 0 1 0 0 0 0 1,-4.0457,-1.1823,-2.2583,-1.7379,-2.7023,-2.5738,-2.9305,-1.916,-2.1476,1.2172,-3.5371,-2.9753,-6.6013,-6.4138,-4.0457,QC'd by NIEHS/NTP
5,17388666,7529,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB07944748-01/37857175,,Inactive,,,,0,,-4.25,0.4,0.4409,-17.2556,0.5,4,0 0 0 0 1 1 0 0 0 0 0 0 0 0,-11.0463,3.4159,-4.7786,3.6103,-2.8551,-6.3956,12.7319,0.2557,-1.953,-9.1321,-2.314,-6.7681,-0.0425,-9.4067,-11.0463,10,,,,,,,4,,-3.956,0.7548,-4.0145,-0.834,-2.8223,-4.6314,8.2397,-1.3626,-3.1132,-6.4378,0.3537,-1.6903,-1.7728,-5.4313,-3.956,10,,,,,,,4,,1.7819,0.913,-0.5827,0.9905,-1.193,-1.9006,0.2524,-0.7952,1.2087,-0.8019,-0.9105,-1.1862,0.4851,0.7355,1.7819,QC'd by NIEHS/NTP
