PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103220499,10168,Unspecified,,,,100,IC50,>,100000,nM
2,103507642,3385,Active,,,,5.78,IC50,=,5780,nM
3,194139140,73213391,Active,,,,36.56,IC50,=,36560,nM
4,194139141,73213443,Unspecified,,,,61.19,IC50,=,61190,nM
5,194139142,73213445,Active,,,,48.2,IC50,=,48200,nM
6,194139143,73212273,Unspecified,,,,100,IC50,>,100000,nM
7,194139144,73212274,Active,,,,22.06,IC50,=,22060,nM
8,194146106,73212275,Active,,,,45.35,IC50,=,45350,nM
9,194152900,73213388,Active,,,,48.93,IC50,=,48930,nM
10,194159859,73212272,Active,,,,17.79,IC50,=,17790,nM
11,194166834,73212276,Unspecified,,,,54.32,IC50,=,54320,nM
12,194166835,73212362,Unspecified,,,,100,IC50,>,100000,nM
13,194173649,73212361,Active,,,,16.66,IC50,=,16660,nM
14,194173650,73213390,Unspecified,,,,57.82,IC50,=,57820,nM
15,194173651,73213446,Active,,,,5.32,IC50,=,5320,nM
16,194173652,73213447,Active,,,,8.37,IC50,=,8370,nM
17,194180554,73213387,Unspecified,,,,65.45,IC50,=,65450,nM
18,194180555,73213389,Active,,,,40.18,IC50,=,40180,nM
19,194180556,73213444,Active,,,,22.36,IC50,=,22360,nM
