PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,,
1,103324264,10494,Unspecified,,,,211.8,IC50,=,211800,nM,Outside typical range
2,103479638,21599838,Active,,,,17.02,IC50,=,17020,nM,
3,103479653,73659,Unspecified,,,,99.2,IC50,=,99200,nM,
4,103582220,14010966,Unspecified,,,,50.16,IC50,=,50160,nM,
5,103582430,151202,Unspecified,,,,103.67,IC50,=,103670,nM,Outside typical range
6,103589777,11753144,Active,,,,38.73,IC50,=,38730,nM,
7,336901417,127048447,Active,,,,0.22,IC50,=,220,nM,
8,336901418,127048448,Unspecified,,,,84.07,IC50,=,84070,nM,
9,336901419,127048449,Unspecified,,,,68.69,IC50,=,68690,nM,
10,336902064,127048950,Active,,,,17.47,IC50,=,17470,nM,
11,336902280,127049116,Active,,,,12.79,IC50,=,12790,nM,
12,336902281,127049117,Unspecified,,,,176.16,IC50,=,176160,nM,Outside typical range
13,336902447,127049241,Active,,,,24.4,IC50,=,24400,nM,
14,336902902,127049570,Unspecified,,,,66.73,IC50,=,66730,nM,
15,336903784,127050197,Unspecified,,,,113.05,IC50,=,113050,nM,Outside typical range
16,336906771,127052358,Unspecified,,,,96.71,IC50,=,96710,nM,
17,336906795,127052377,Unspecified,,,,59.91,IC50,=,59910,nM,
18,336906796,127052378,Active,,,,7.68,IC50,=,7680,nM,
