PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103168561,5351344,Active,,,,0.012,IC50,=,12,nM
2,336901359,127048399,Active,,,,0.057,IC50,=,57,nM
3,336901360,127048400,Active,,,,0.027,IC50,=,27,nM
4,336901361,21850299,Unspecified,,,,1,IC50,>,1000,nM
5,336901362,127048401,Unspecified,,,,1,IC50,>,1000,nM
6,336901363,127048402,Unspecified,,,,1,IC50,>,1000,nM
7,336901364,127048403,Unspecified,,,,1,IC50,>,1000,nM
8,336902225,127049070,Active,,,,0.038,IC50,=,38,nM
9,336902659,127049384,Active,,,,0.031,IC50,=,31,nM
10,336902660,127049385,Active,,,,0.022,IC50,=,22,nM
11,336906125,127051876,Active,,,,0.093,IC50,=,93,nM
12,336906126,127051877,Active,,,,0.013,IC50,=,13,nM
13,336906127,127051878,Active,,,,0.065,IC50,=,65,nM
14,336906128,127051879,Active,,,,0.035,IC50,=,35,nM
15,336906129,127051880,Active,,,,0.067,IC50,=,67,nM
16,336906130,127051881,Active,,,,0.146,IC50,=,146,nM
17,336906558,127052200,Active,,,,0.531,IC50,=,531,nM
18,336907009,127052509,Active,,,,0.031,IC50,=,31,nM
19,336907404,21850214,Unspecified,,,,1,IC50,>,1000,nM
20,336907405,127052790,Active,,,,0.531,IC50,=,531,nM
21,336907406,127052791,Active,,,,0.078,IC50,=,78,nM
22,336907407,127052792,Active,,,,0.235,IC50,=,235,nM
23,336907408,21850283,Active,,,,0.261,IC50,=,261,nM
24,336907409,127052793,Active,,,,0.062,IC50,=,62,nM
25,336907410,127052794,Active,,,,0.007,IC50,=,7,nM
26,336907411,127052795,Active,,,,0.078,IC50,=,78,nM
27,336907412,127052796,Unspecified,,,,1,IC50,>,1000,nM
28,336907413,127052797,Unspecified,,,,1,IC50,>,1000,nM
29,336907414,127052798,Active,,,,0.327,IC50,=,327,nM
30,336907415,127052799,Active,,,,0.415,IC50,=,415,nM
31,336907416,127052800,Active,,,,0.049,IC50,=,49,nM
