PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,312377862,118726130,Unspecified,,,,62.6,IC50,=,62600,nM
2,312377863,118726131,Active,,,,0.6,IC50,=,600,nM
3,312377864,118726132,Unspecified,,,,53.6,IC50,=,53600,nM
4,312377865,118726133,Unspecified,,,,88.9,IC50,=,88900,nM
5,312377866,118726134,Unspecified,,,,65.8,IC50,=,65800,nM
6,312377867,118726135,Active,,,,45.8,IC50,=,45800,nM
7,312377868,118726136,Unspecified,,,,71.6,IC50,=,71600,nM
8,312377869,118726137,Unspecified,,,,57.3,IC50,=,57300,nM
