PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103516975,74989,Active,,,,12,IC50,=,12000,nM
2,160667782,67616580,Active,,,,0.577,IC50,=,577,nM
3,160667786,67889904,Active,,,,0.031,IC50,=,31,nM
4,160667788,67617276,Active,,,,1.88,IC50,=,1880,nM
5,160673112,67617590,Active,,,,0.065,IC50,=,65,nM
6,160673113,67617805,Active,,,,0.207,IC50,=,207,nM
7,160673114,67617657,Active,,,,0.251,IC50,=,251,nM
8,160673117,67607402,Active,,,,0.0068,IC50,=,6.8,nM
9,160678468,56965335,Active,,,,0.273,IC50,=,273,nM
10,160678469,56965336,Active,,,,0.178,IC50,=,178,nM
11,160678470,67616088,Active,,,,0.094,IC50,=,94,nM
12,160678471,70685787,Active,,,,0.552,IC50,=,552,nM
13,160678472,67617339,Active,,,,0.274,IC50,=,274,nM
14,160678474,67616256,Active,,,,0.191,IC50,=,191,nM
15,160678476,67616724,Active,,,,0.217,IC50,=,217,nM
16,160683811,56965231,Active,,,,0.122,IC50,=,122,nM
17,160683815,67617538,Active,,,,0.328,IC50,=,328,nM
18,160683816,70687917,Active,,,,0.224,IC50,=,224,nM
19,160689176,67616238,Active,,,,0.416,IC50,=,416,nM
20,160689182,67608654,Active,,,,0.092,IC50,=,92,nM
21,160689183,67616627,Active,,,,0.566,IC50,=,566,nM
22,160694627,67607695,Active,,,,1.4,IC50,=,1400,nM
23,160694628,67616712,Unspecified,,,,1,IC50,>,1000,nM
24,160699983,67609322,Active,,,,0.797,IC50,=,797,nM
25,160699984,67616948,Active,,,,0.626,IC50,=,626,nM
26,160699986,70694152,Active,,,,0.406,IC50,=,406,nM
27,160705342,67616261,Active,,,,0.092,IC50,=,92,nM
28,160705344,67615890,Active,,,,0.33,IC50,=,330,nM
29,160705345,70696278,Active,,,,0.67,IC50,=,670,nM
30,160705346,70696279,Active,,,,0.403,IC50,=,403,nM
