PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103507642,3385,Active,,,,29.98,IC50,=,29980,nM
2,103570603,119034,Active,,,,34.9,IC50,=,34900,nM
3,312356170,118712604,Unspecified,,,,100,IC50,>,100000,nM
4,312356171,118712605,Active,,,,5.97,IC50,=,5970,nM
5,312356172,118712606,Unspecified,,,,100,IC50,>,100000,nM
6,312356173,118712607,Active,,,,11.6,IC50,=,11600,nM
7,312356174,118712608,Active,,,,29.83,IC50,=,29830,nM
8,312356175,118712609,Active,,,,20.43,IC50,=,20430,nM
9,312356176,118712610,Active,,,,21.27,IC50,=,21270,nM
10,312356177,118712611,Active,,,,19.38,IC50,=,19380,nM
11,312356178,118712612,Active,,,,22.62,IC50,=,22620,nM
12,312356179,118712613,Active,,,,10.91,IC50,=,10910,nM
13,312356180,118712614,Active,,,,8.89,IC50,=,8890,nM
14,312356181,118712615,Active,,,,16.62,IC50,=,16620,nM
15,312356182,118712616,Active,,,,19.38,IC50,=,19380,nM
16,312356183,118712617,Active,,,,18.42,IC50,=,18420,nM
17,312356184,118712618,Active,,,,13.75,IC50,=,13750,nM
18,312356185,118712619,Active,,,,28.36,IC50,=,28360,nM
19,312356186,118712620,Active,,,,22.79,IC50,=,22790,nM
20,312356187,118712621,Active,,,,25.47,IC50,=,25470,nM
21,312356188,118712622,Active,,,,21.31,IC50,=,21310,nM
22,312356189,118712623,Unspecified,,,,100,IC50,>,100000,nM
