PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,312356674,118712965,Active,,,,34,IC50,=,34000,nM
2,312356676,118712967,Active,,,,30,IC50,=,30000,nM
3,312356677,118712968,Unspecified,,,,50,IC50,>,50000,nM
4,312356678,91884577,Active,,,,6,IC50,=,6000,nM
5,312356679,118712969,Active,,,,42,IC50,=,42000,nM
6,312356680,118712970,Unspecified,,,,50,IC50,>,50000,nM
7,312356681,118712971,Active,,,,48,IC50,=,48000,nM
