PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,,
1,103173891,94391,Active,,,,29.35,IC50,=,29350,nM,
2,103507642,3385,Active,,,,36.53,IC50,=,36530,nM,
3,312366817,118719412,Active,,,,26.56,IC50,=,26560,nM,
4,312366818,118719413,Unspecified,,,,101.24,IC50,=,101240,nM,Outside typical range
5,312366819,118719414,Active,,,,20.18,IC50,=,20180,nM,
6,312366820,118719415,Active,,,,25.92,IC50,=,25920,nM,
7,312366821,118719416,Active,,,,32.03,IC50,=,32030,nM,
8,312374935,118724735,Active,,,,29.06,IC50,=,29060,nM,
9,312374936,118724736,Unspecified,,,,57.83,IC50,=,57830,nM,
10,312374937,118724737,Active,,,,14.72,IC50,=,14720,nM,
11,312374938,118724738,Active,,,,40.71,IC50,=,40710,nM,
12,312374939,118724739,Unspecified,,,,52.31,IC50,=,52310,nM,
13,312374940,118724740,Active,,,,16.32,IC50,=,16320,nM,
14,312374941,118724741,Active,,,,18.92,IC50,=,18920,nM,
15,312374942,118724742,Active,,,,25.86,IC50,=,25860,nM,
16,312374943,118724743,Unspecified,,,,63.48,IC50,=,63480,nM,
17,312374944,118724744,Active,,,,16.32,IC50,=,16320,nM,
18,312374945,118724745,Active,,,,7.76,IC50,=,7760,nM,
19,312374946,118724746,Unspecified,,,,100,IC50,>,100000,nM,
20,312374947,118724747,Active,,,,35.95,IC50,=,35950,nM,
21,312374948,118724748,Active,,,,32.26,IC50,=,32260,nM,
22,312374949,118724749,Active,,,,49.59,IC50,=,49590,nM,
23,312374950,118724750,Active,,,,19.17,IC50,=,19170,nM,
24,312374951,118724751,Active,,,,15.96,IC50,=,15960,nM,
25,312374952,118724752,Active,,,,12.51,IC50,=,12510,nM,
26,312374953,118724753,Active,,,,19.26,IC50,=,19260,nM,
27,312374954,118724754,Active,,,,18.42,IC50,=,18420,nM,
28,312374955,118724755,Active,,,,10.86,IC50,=,10860,nM,
29,312374956,118724756,Active,,,,17.3,IC50,=,17300,nM,
30,312374957,118724757,Active,,,,34.11,IC50,=,34110,nM,
31,312374958,118724758,Active,,,,20.78,IC50,=,20780,nM,
32,312374959,118724759,Active,,,,20.65,IC50,=,20650,nM,
33,312374960,118724760,Active,,,,20.56,IC50,=,20560,nM,
34,312374961,118724761,Active,,,,22.81,IC50,=,22810,nM,
