PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,,
1,103235857,10228,Active,,,,24.8,IC50,=,24800,nM,
2,136920478,11977753,Active,,,,12.3,IC50,=,12300,nM,
3,312351123,118709361,Active,,,,35,IC50,=,35000,nM,
4,312351124,118709362,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
5,312351125,118709363,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
6,312351126,118709364,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
7,312351127,118709365,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
8,312351128,118709366,Active,,,,26.4,IC50,=,26400,nM,
9,312351129,118709367,Active,,,,36.2,IC50,=,36200,nM,
10,312351130,118709368,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
11,312351131,118709369,Active,,,,14.2,IC50,=,14200,nM,
12,312351132,118709370,Active,,,,32,IC50,=,32000,nM,
13,312351133,118709371,Active,,,,28.3,IC50,=,28300,nM,
14,312351134,118709372,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
15,312351135,118709373,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
16,312351148,118709376,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
17,312351149,118709377,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
18,312351150,118709378,Active,,,,36.2,IC50,=,36200,nM,
19,312351151,118709379,Active,,,,24.2,IC50,=,24200,nM,
20,312351152,118709380,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
21,312351153,118709381,Active,,,,45.5,IC50,=,45500,nM,
22,312351154,118709382,Active,,,,42.1,IC50,=,42100,nM,
