PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,,
1,123097261,31703,Active,,,,2.81,IC50,=,2810,nM,
2,336877237,127033135,Unspecified,,,,61.65,IC50,=,61650,nM,
3,336877238,127033136,Unspecified,,,,125.89,IC50,=,125890,nM,Outside typical range
4,336877245,127033142,Active,,,,17.96,IC50,=,17960,nM,
5,336877641,127033411,Active,,,,23.2,IC50,=,23200,nM,
6,336877654,127033412,Unspecified,,,,109.67,IC50,=,109670,nM,Outside typical range
7,336877658,127033413,Active,,,,16.07,IC50,=,16070,nM,
8,336877659,127033414,Active,,,,34,IC50,=,34000,nM,
9,336877660,127033415,Active,,,,12.32,IC50,=,12320,nM,
10,336877661,127033416,Active,,,,11.74,IC50,=,11740,nM,
11,336877662,127033417,Active,,,,19.95,IC50,=,19950,nM,
12,336877663,127033418,Active,,,,14.79,IC50,=,14790,nM,
13,336878073,127033711,Active,,,,46.64,IC50,=,46640,nM,
14,336878074,127033712,Active,,,,34.67,IC50,=,34670,nM,
15,336878075,15127781,Active,,,,12.02,IC50,=,12020,nM,
16,336878076,127033713,Active,,,,6.16,IC50,=,6160,nM,
17,336878479,127033988,Active,,,,21.69,IC50,=,21690,nM,
18,336878511,127034007,Active,,,,8.12,IC50,=,8120,nM,
19,336878512,127034008,Active,,,,13,IC50,=,13000,nM,
20,336878520,127034015,Active,,,,45.7,IC50,=,45700,nM,
21,336878521,127034016,Unspecified,,,,55.2,IC50,=,55200,nM,
22,336878522,127034017,Unspecified,,,,83.17,IC50,=,83170,nM,
23,336878921,127034252,Active,,,,12.88,IC50,=,12880,nM,
24,336878922,127034253,Active,,,,12.84,IC50,=,12840,nM,
25,336878923,127034254,Active,,,,21.37,IC50,=,21370,nM,
26,336878924,127034255,Active,,,,11.22,IC50,=,11220,nM,
27,336878932,127034259,Active,,,,26.91,IC50,=,26910,nM,
28,336878933,127034260,Unspecified,,,,100,IC50,=,100000,nM,
29,336878963,127034287,Active,,,,33.82,IC50,=,33820,nM,
