PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103494075,14957,Active,,,,0.15,IC50,<,150,nM
2,103753554,16101044,Active,,,,0.9,IC50,=,900,nM
3,103753555,54734323,Active,,,,4.9,IC50,=,4900,nM
4,103753556,54734324,Active,,,,8.6,IC50,=,8600,nM
5,103753557,54734325,Active,,,,16.6,IC50,=,16600,nM
6,103753607,46888474,Active,,,,0.38,IC50,=,380,nM
7,103753608,46845152,Active,,,,0.3,IC50,=,300,nM
8,103753609,46845153,Active,,,,0.18,IC50,=,180,nM
9,103753610,46888475,Active,,,,0.94,IC50,=,940,nM
10,103753658,46888494,Unspecified,,,,20,IC50,>,20000,nM
11,103753659,46845154,Active,,,,0.88,IC50,=,880,nM
12,103753661,46845155,Active,,,,0.34,IC50,=,340,nM
