PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103575556,6437838,Active,,,,0.005,IC50,=,5,nM
2,103575559,54732495,Active,,,,15.1,IC50,=,15100,nM
3,103575560,54732496,Unspecified,,,,26.6,IC50,>,26600,nM
4,103575562,54732497,Active,,,,0.183,IC50,=,183,nM
5,103575612,54712756,Active,,,,1.01,IC50,=,1010,nM
6,103575614,54732498,Active,,,,8.55,IC50,=,8550,nM
7,103575616,44456200,Unspecified,,,,22.4,IC50,>,22400,nM
8,103575660,16742460,Unspecified,,,,23.4,IC50,>,23400,nM
9,103575700,16742458,Active,,,,2.8,IC50,=,2800,nM
10,103575701,44456275,Unspecified,,,,24.3,IC50,>,24300,nM
11,103575743,54732499,Active,,,,2.21,IC50,=,2210,nM
12,103575744,44456321,Unspecified,,,,25.3,IC50,>,25300,nM
13,103575785,54732500,Unspecified,,,,25.3,IC50,>,25300,nM
14,103575786,54708419,Unspecified,,,,26.5,IC50,>,26500,nM
15,103575827,54708418,Active,,,,3.52,IC50,=,3520,nM
16,103575829,54732501,Active,,,,0.461,IC50,=,461,nM
17,103575831,54696388,Active,,,,17.8,IC50,=,17800,nM
