PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103753554,16101044,Active,,,,29.9,IC50,=,29900,nM
2,103753555,54734323,Unspecified,,,,31,IC50,>,31000,nM
3,103753556,54734324,Unspecified,,,,31,IC50,>,31000,nM
4,103753557,54734325,Unspecified,,,,31,IC50,>,31000,nM
5,103753608,46845152,Active,,,,3.3,IC50,=,3300,nM
6,103753609,46845153,Active,,,,2.4,IC50,=,2400,nM
7,103753610,46888475,Unspecified,,,,31,IC50,>,31000,nM
8,103753659,46845154,Unspecified,,,,27,IC50,>,27000,nM
9,103753661,46845155,Active,,,,12.4,IC50,=,12400,nM
