PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,,
1,103175813,5329102,Active,,,,23,IC50,=,23000,nM,
2,336901128,127048221,Unspecified,,,,87.61,IC50,=,87610,nM,
3,336901182,127048264,Unspecified,,,,100,IC50,>,100000,nM,
4,336901183,127048265,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
5,336901184,127048266,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
6,336901185,127048267,Unspecified,,,,100,IC50,>,100000,nM,
7,336901623,127048604,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
8,336902029,127048922,Active,,,,23.15,IC50,=,23150,nM,
9,336902063,127048949,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
10,336902896,127049564,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
11,336903367,127049908,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
12,336903368,127049909,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
13,336903369,127049910,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
14,336903791,127050203,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
15,336904662,127050826,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
16,336906767,127052354,Unspecified,,,,78.14,IC50,=,78140,nM,
17,336907098,127052569,Unspecified,,,,90.99,IC50,=,90990,nM,
18,336907099,127052570,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
19,336907100,127052571,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
20,336907101,127052572,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
21,336907102,127052573,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
22,336907103,127052574,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
23,336907476,127052840,Unspecified,,,,81.75,IC50,=,81750,nM,
