PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,,
1,103223867,460612,Active,,,,1.7,IC50,=,1700,nM,
2,103340697,5281767,Active,,,,21.2,IC50,=,21200,nM,
3,160699116,54753797,Active,,,,1,IC50,=,1000,nM,
4,174486337,71699537,Active,,,,3.79,IC50,=,3790,nM,
5,174491343,73347407,Active,,,,39.8,IC50,=,39800,nM,
6,174496383,71698345,Unspecified,,,,500,IC50,>,500000,nM,Outside typical range
7,174501650,71699612,Active,,,,4.43,IC50,=,4430,nM,
8,174501651,73350499,Active,,,,0.37,IC50,=,370,nM,
9,174506836,71699538,Active,,,,0.649,IC50,=,649,nM,
10,174506837,73352015,Active,,,,27,IC50,=,27000,nM,
11,174506838,71699540,Active,,,,0.388,IC50,=,388,nM,
12,174506839,73352016,Active,,,,0.91,IC50,=,910,nM,
13,174506840,73352017,Active,,,,0.216,IC50,=,216,nM,
14,174506842,73352019,Active,,,,5.54,IC50,=,5540,nM,
15,174511971,73353478,Active,,,,2.88,IC50,=,2880,nM,
16,174517035,71699611,Unspecified,,,,59.9,IC50,=,59900,nM,
17,174517036,73354978,Unspecified,,,,219,IC50,=,219000,nM,Outside typical range
18,174522214,73356538,Active,,,,0.822,IC50,=,822,nM,
19,174522215,73356539,Active,,,,5.61,IC50,=,5610,nM,
20,312348076,71699613,Active,,,,0.246,IC50,=,246,nM,
