PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103378598,10364986,Active,,,,6.3,IC50,=,6300,nM
2,103586212,122838,Active,,,,20.6,IC50,=,20600,nM
3,103631753,11201041,Active,,,,6.1,IC50,=,6100,nM
4,163320252,71453127,Active,,,,6.3,IC50,=,6300,nM
5,163323634,71454859,Active,,,,6.5,IC50,=,6500,nM
6,163327093,71456630,Active,,,,28.1,IC50,=,28100,nM
7,163329492,23427322,Unspecified,,,,30,IC50,>,30000,nM
