PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103220940,441612,Active,,,,0.00059,IC50,=,0.59,nM
2,103259716,44307147,Active,,,,0.00041,IC50,=,0.41,nM
3,103385871,9960732,Active,,,,0.0006,IC50,=,0.6,nM
4,103385872,10579719,Active,,,,0.00034,IC50,=,0.34,nM
5,103385995,10724271,Active,,,,0.00168,IC50,=,1.68,nM
6,103385996,10580086,Active,,,,0.00034,IC50,=,0.34,nM
7,103386011,10557540,Active,,,,0.0141,IC50,=,14.1,nM
8,103386012,10794141,Active,,,,0.00074,IC50,=,0.74,nM
9,103386013,10555859,Active,,,,0.00065,IC50,=,0.65,nM
10,103386022,10724272,Active,,,,0.0029,IC50,=,2.9,nM
11,103386236,10556060,Active,,,,0.00034,IC50,=,0.34,nM
12,103386237,10603957,Active,,,,0.00095,IC50,=,0.95,nM
13,103386238,10675319,Active,,,,0.00165,IC50,=,1.65,nM
14,103386256,11802006,Active,,,,0.00042,IC50,=,0.42,nM
15,103386292,10009264,Active,,,,0.00025,IC50,=,0.25,nM
16,103386676,127149,Active,,,,0.00032,IC50,=,0.32,nM
17,103386710,10747635,Active,,,,0.0021,IC50,=,2.1,nM
18,103386719,10531927,Active,,,,0.00152,IC50,=,1.52,nM
19,103386720,9873339,Active,,,,0.00033,IC50,=,0.33,nM
20,103386721,10723766,Active,,,,0.00146,IC50,=,1.46,nM
21,103386847,10795148,Active,,,,0.005,IC50,=,5,nM
22,103386848,10699880,Active,,,,0.018,IC50,=,18,nM
23,103759743,46905041,Active,,,,0.00051,IC50,=,0.51,nM
