PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,123097261,31703,Active,,,,1.16,IC50,=,1160,nM
2,336866228,102099386,Active,,,,14.67,IC50,=,14670,nM
3,336866229,102099385,Active,,,,15.62,IC50,=,15620,nM
4,336866230,102099388,Active,,,,17.37,IC50,=,17370,nM
5,336866231,127025594,Active,,,,18.97,IC50,=,18970,nM
6,336866656,127025882,Active,,,,19.03,IC50,=,19030,nM
7,336866657,102099384,Active,,,,16.98,IC50,=,16980,nM
8,336866658,127025883,Active,,,,10.96,IC50,=,10960,nM
9,336866659,71814724,Active,,,,18.09,IC50,=,18090,nM
10,336866660,127025884,Active,,,,15.12,IC50,=,15120,nM
11,336866661,127025885,Active,,,,1.63,IC50,=,1630,nM
12,336867066,127026175,Active,,,,12.69,IC50,=,12690,nM
13,336867067,127026176,Active,,,,15.84,IC50,=,15840,nM
14,336867068,102099383,Active,,,,4.11,IC50,=,4110,nM
15,336867069,127026177,Active,,,,14.45,IC50,=,14450,nM
