PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103536924,73588,Active,,,,4.8,IC50,=,4800,nM
2,103654597,44592813,Active,,,,1.8,IC50,=,1800,nM
3,104234176,36462,Active,,,,0.5,IC50,=,500,nM
4,123087629,14467636,Active,,,,3.5,IC50,=,3500,nM
5,134436200,15386508,Active,,,,20.8,IC50,=,20800,nM
6,134443933,442084,Unspecified,,,,30,IC50,>,30000,nM
7,134459356,56679842,Unspecified,,,,30,IC50,>,30000,nM
8,163325423,2751798,Active,,,,25.4,IC50,=,25400,nM
9,163325424,46830377,Active,,,,2.7,IC50,=,2700,nM
10,163335819,25211156,Active,,,,2.4,IC50,=,2400,nM
11,174488242,73346204,Active,,,,11.8,IC50,=,11800,nM
12,174488243,73346205,Unspecified,,,,30,IC50,>,30000,nM
13,174493270,1023607,Unspecified,,,,30,IC50,>,30000,nM
14,174493271,23252567,Active,,,,11.5,IC50,=,11500,nM
15,174493272,73347717,Active,,,,5.7,IC50,=,5700,nM
16,174493273,11750829,Active,,,,15.9,IC50,=,15900,nM
17,174493274,73347718,Unspecified,,,,30,IC50,>,30000,nM
18,174493275,73347719,Unspecified,,,,30,IC50,>,30000,nM
19,174498434,72549723,Active,,,,5.6,IC50,=,5600,nM
20,174498435,73349245,Unspecified,,,,30,IC50,>,30000,nM
21,174498436,73349246,Unspecified,,,,30,IC50,>,30000,nM
22,174498437,73349247,Unspecified,,,,30,IC50,>,30000,nM
23,174503680,73350828,Active,,,,8.4,IC50,=,8400,nM
24,174505182,333723,Active,,,,4.1,IC50,=,4100,nM
25,174513992,49777789,Active,,,,3.6,IC50,=,3600,nM
26,174513993,49777795,Active,,,,9,IC50,=,9000,nM
27,174513994,73353787,Active,,,,4.7,IC50,=,4700,nM
28,174513995,73353788,Unspecified,,,,30,IC50,>,30000,nM
29,174518999,10766222,Active,,,,4.1,IC50,=,4100,nM
30,174524245,72549722,Active,,,,3.8,IC50,=,3800,nM
31,174524246,73356863,Unspecified,,,,30,IC50,>,30000,nM
