PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
1,103165295,64971,Unspecified,,,,GI,=,70,%
2,163314654,70678254,Unspecified,,,,GI,=,46,%
3,336865178,127024873,Unspecified,,,,GI,=,8,%
4,336865179,127024874,Unspecified,,,,GI,=,45,%
5,336865180,127024875,Unspecified,,,,GI,=,17,%
6,336865181,127024876,Unspecified,,,,GI,=,33,%
7,336866054,127025477,Unspecified,,,,GI,=,18,%
8,336866537,127025800,Unspecified,,,,GI,=,5,%
9,336866538,127025801,Unspecified,,,,GI,=,7,%
10,336866539,127025802,Unspecified,,,,GI,=,4,%
11,336866540,127025803,Unspecified,,,,GI,=,10,%
12,336867402,127026420,Unspecified,,,,GI,=,9,%
13,336867403,127026421,Unspecified,,,,GI,=,44,%
14,336867404,127026422,Unspecified,,,,GI,=,49,%
15,336867842,127026726,Unspecified,,,,GI,=,10,%
16,336868779,127027365,Unspecified,,,,GI,=,8,%
17,336868780,127027366,Unspecified,,,,GI,=,7,%
18,336869236,127027692,Unspecified,,,,GI,=,6,%
19,336869237,127027693,Unspecified,,,,GI,=,5,%
20,336869645,127027990,Unspecified,,,,GI,=,46,%
21,336869646,127027991,Unspecified,,,,GI,=,25,%
22,336869689,127028019,Unspecified,,,,GI,=,2,%
23,336869690,127028020,Unspecified,,,,GI,=,30,%
24,336869691,127028021,Unspecified,,,,GI,=,4,%
25,336870092,127028307,Unspecified,,,,GI,=,49,%
26,336870093,127028308,Unspecified,,,,GI,=,21,%
27,336870094,127028309,Unspecified,,,,GI,=,8,%
28,336870130,127028335,Unspecified,,,,GI,=,9,%
29,336870131,127028336,Unspecified,,,,GI,=,67,%
30,336870539,127028639,Unspecified,,,,GI,=,15,%
31,336871005,127028966,Unspecified,,,,GI,=,10,%
32,336871006,127028967,Unspecified,,,,GI,=,29,%
33,336871007,127028968,Unspecified,,,,GI,=,3,%
34,336871454,127029258,Unspecified,,,,GI,=,62,%
