PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103168561,5351344,Active,,,,0.018,IC50,=,18,nM
2,312358517,118714211,Active,,,,1.14,IC50,=,1140,nM
3,312358518,118714212,Active,,,,3.23,IC50,=,3230,nM
4,312358519,118714213,Active,,,,2.95,IC50,=,2950,nM
5,312358520,101913673,Active,,,,0.068,IC50,=,68,nM
6,312358521,118714214,Active,,,,0.19,IC50,=,190,nM
7,312358522,118714215,Active,,,,0.57,IC50,=,570,nM
8,312358523,118714216,Active,,,,5.88,IC50,=,5880,nM
9,312358524,101913674,Active,,,,0.081,IC50,=,81,nM
10,312358525,118714217,Active,,,,0.32,IC50,=,320,nM
11,312358526,118714218,Active,,,,0.72,IC50,=,720,nM
12,312358527,137100884,Active,,,,4.571,IC50,=,4571,nM
13,312358528,137100885,Active,,,,5.01,IC50,=,5010,nM
14,312358529,137100886,Active,,,,3.54,IC50,=,3540,nM
15,312358530,137100887,Active,,,,0.33,IC50,=,330,nM
16,312358531,137100888,Active,,,,0.77,IC50,=,770,nM
