PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,,
1,194136154,10589815,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
2,194136155,10037813,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
3,194136181,76308703,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
4,194136181,76308703,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
5,194143033,76312388,Active,,,,1.52,IC50,=,1520,nM,
6,194143034,11696279,Active,,,,11.93,IC50,=,11930,nM,
7,194143034,11696279,Active,,,,14.31,IC50,=,14310,nM,
8,194156903,11688860,Active,,,,16.45,IC50,=,16450,nM,
9,194156903,11688860,Active,,,,6.57,IC50,=,6570,nM,
