PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103507642,3385,Active,,,,10.59,IC50,=,10590,nM
2,374263984,137317282,Unspecified,,,,64,IC50,>,64000,nM
3,374264000,137317283,Active,,,,9.29,IC50,=,9290,nM
4,374264263,137317290,Active,,,,8.69,IC50,=,8690,nM
5,374264284,134130060,Active,,,,31.25,IC50,=,31250,nM
6,374264440,137317292,Active,,,,6.52,IC50,=,6520,nM
7,374264486,137317294,Active,,,,11.23,IC50,=,11230,nM
8,374264516,134130205,Unspecified,,,,64,IC50,>,64000,nM
9,374264610,134130261,Active,,,,20.04,IC50,=,20040,nM
10,374264656,134130299,Unspecified,,,,64,IC50,>,64000,nM
11,374264743,137317299,Active,,,,30.86,IC50,=,30860,nM
12,374264768,137317300,Active,,,,15.89,IC50,=,15890,nM
13,374264776,137317301,Active,,,,5.25,IC50,=,5250,nM
14,374264788,134130400,Unspecified,,,,64,IC50,>,64000,nM
15,374264814,134130421,Active,,,,4.67,IC50,=,4670,nM
16,374264949,137317302,Active,,,,32.49,IC50,=,32490,nM
17,374265090,137317306,Active,,,,21.93,IC50,=,21930,nM
18,374265291,134130720,Active,,,,4.4,IC50,=,4400,nM
19,374265366,134130786,Active,,,,6.64,IC50,=,6640,nM
20,374265368,134130788,Active,,,,4.06,IC50,=,4060,nM
21,374265516,134130840,Unspecified,,,,64,IC50,>,64000,nM
22,374265612,134130918,Active,,,,6.18,IC50,=,6180,nM
23,374265625,137317312,Unspecified,,,,60.27,IC50,=,60270,nM
24,374265627,137317313,Active,,,,5.76,IC50,=,5760,nM
25,374265656,134130955,Unspecified,,,,64,IC50,>,64000,nM
26,374265782,137317318,Active,,,,1.77,IC50,=,1770,nM
27,374265784,134131019,Active,,,,32.22,IC50,=,32220,nM
28,374265871,134131091,Unspecified,,,,64,IC50,>,64000,nM
29,374265976,137317320,Active,,,,11.11,IC50,=,11110,nM
30,374266017,134131194,Unspecified,,,,64,IC50,>,64000,nM
31,374266086,134131233,Unspecified,,,,64,IC50,>,64000,nM
32,374266186,137317324,Active,,,,12.95,IC50,=,12950,nM
33,374266298,134131402,Unspecified,,,,64,IC50,>,64000,nM
34,374266459,134131499,Active,,,,6.54,IC50,=,6540,nM
35,374266485,137317332,Active,,,,36.09,IC50,=,36090,nM
36,374266545,134131569,Unspecified,,,,64,IC50,>,64000,nM
