PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103175813,5329102,Active,,,,12.6,IC50,=,12600,nM
2,374264205,134129989,Unspecified,,,,50,IC50,>,50000,nM
3,374264276,134130055,Active,,,,37.13,IC50,=,37130,nM
4,374264392,134130101,Active,,,,34.45,IC50,=,34450,nM
5,374264461,134130155,Unspecified,,,,50,IC50,>,50000,nM
6,374264612,134130263,Unspecified,,,,50,IC50,>,50000,nM
7,374264764,134130382,Unspecified,,,,50,IC50,>,50000,nM
8,374264778,134130393,Active,,,,31.67,IC50,=,31670,nM
9,374264840,134130444,Unspecified,,,,50,IC50,>,50000,nM
10,374265012,134130550,Unspecified,,,,50,IC50,>,50000,nM
11,374265206,83525305,Unspecified,,,,50,IC50,>,50000,nM
12,374265220,134130677,Active,,,,17.2,IC50,=,17200,nM
13,374265249,134130691,Unspecified,,,,50,IC50,>,50000,nM
14,374265606,134130911,Unspecified,,,,50,IC50,>,50000,nM
15,374265820,134131048,Unspecified,,,,50,IC50,>,50000,nM
16,374265938,134131142,Unspecified,,,,50,IC50,>,50000,nM
17,374266045,134131211,Unspecified,,,,50,IC50,>,50000,nM
18,374266141,134131279,Active,,,,32.2,IC50,=,32200,nM
19,374266251,134131368,Active,,,,29.51,IC50,=,29510,nM
20,374266434,134131477,Unspecified,,,,50,IC50,>,50000,nM
21,374266542,134131566,Unspecified,,,,50,IC50,>,50000,nM
