PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
1,174486806,71746963,Unspecified,,,,Survival,=,69.98,%
2,174486807,71747123,Unspecified,,,,Survival,=,54.05,%
3,174486808,71747301,Unspecified,,,,Survival,=,84.06,%
4,174491846,12345146,Unspecified,,,,Survival,=,61.06,%
5,174491847,71746960,Unspecified,,,,Survival,=,58.02,%
6,174491848,71747121,Unspecified,,,,Survival,=,63.67,%
7,174491849,71747295,Unspecified,,,,Survival,=,62.74,%
8,174496902,71746961,Unspecified,,,,Survival,=,52.84,%
9,174496903,71747296,Unspecified,,,,Survival,=,71.22,%
10,174496904,71747298,Unspecified,,,,Survival,=,95.32,%
11,174502115,71747122,Unspecified,,,,Survival,=,61.97,%
12,174502116,71747299,Unspecified,,,,Survival,=,88.18,%
13,174502117,71747300,Unspecified,,,,Survival,=,73.16,%
14,174502118,71747468,Unspecified,,,,Survival,=,68.68,%
15,174507320,71746962,Unspecified,,,,Survival,=,70.29,%
16,174507321,71747297,Unspecified,,,,Survival,=,75.21,%
17,174512444,71747302,Unspecified,,,,Survival,=,80.67,%
18,174512445,71747470,Unspecified,,,,Survival,=,78.89,%
19,174512446,71747472,Unspecified,,,,Survival,=,71.26,%
20,174512447,71747473,Unspecified,,,,Survival,=,73.01,%
21,174517508,71747471,Unspecified,,,,Survival,=,61.92,%
22,174517509,71747475,Unspecified,,,,Survival,=,55.74,%
23,174522715,12345147,Unspecified,,,,Survival,=,57.02,%
24,174522716,71747119,Unspecified,,,,Survival,=,61.04,%
25,174522717,71747124,Unspecified,,,,Survival,=,51.99,%
