PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103168561,5351344,Active,,,,0.058,IC50,=,58,nM
2,374263968,134129879,Active,,,,1.41,IC50,=,1410,nM
3,374263987,134129890,Active,,,,9.77,IC50,=,9770,nM
4,374263994,134129896,Active,,,,7.61,IC50,=,7610,nM
5,374264163,134129961,Active,,,,2.07,IC50,=,2070,nM
6,374264172,134129968,Active,,,,4.78,IC50,=,4780,nM
7,374264192,134129978,Active,,,,9.24,IC50,=,9240,nM
8,374264289,134130065,Active,,,,3.46,IC50,=,3460,nM
9,374264480,134130174,Active,,,,3.8,IC50,=,3800,nM
10,374264502,134130191,Active,,,,1.22,IC50,=,1220,nM
11,374264520,134130209,Active,,,,7.76,IC50,=,7760,nM
12,374264525,132819944,Active,,,,0.24,IC50,=,240,nM
13,374264534,134130221,Active,,,,2.25,IC50,=,2250,nM
14,374264645,134130290,Active,,,,5.38,IC50,=,5380,nM
15,374264748,134130368,Active,,,,5.04,IC50,=,5040,nM
16,374264780,134130395,Active,,,,7.41,IC50,=,7410,nM
17,374264794,134130406,Active,,,,11,IC50,=,11000,nM
18,374264820,134130424,Active,,,,0.23,IC50,=,230,nM
19,374264848,134130449,Active,,,,15.85,IC50,=,15850,nM
20,374265067,134130597,Active,,,,7.24,IC50,=,7240,nM
21,374265094,134130621,Active,,,,6.3,IC50,=,6300,nM
22,374265341,134130764,Active,,,,3.8,IC50,=,3800,nM
23,374265358,134130779,Active,,,,3.38,IC50,=,3380,nM
24,374265513,134130838,Active,,,,0.26,IC50,=,260,nM
25,374265514,132819942,Active,,,,0.24,IC50,=,240,nM
26,374265576,134130887,Active,,,,6.58,IC50,=,6580,nM
27,374265626,134130931,Active,,,,10.69,IC50,=,10690,nM
28,374265643,134130946,Active,,,,9.06,IC50,=,9060,nM
29,374265650,134130951,Active,,,,8.54,IC50,=,8540,nM
30,374265812,132819941,Active,,,,0.048,IC50,=,48,nM
31,374265895,134131106,Active,,,,7.24,IC50,=,7240,nM
32,374266124,134131264,Active,,,,1.38,IC50,=,1380,nM
33,374266276,134131386,Active,,,,0.091,IC50,=,91,nM
34,374266292,134131398,Active,,,,3.54,IC50,=,3540,nM
35,374266294,134131400,Active,,,,7.24,IC50,=,7240,nM
36,374266560,134131582,Active,,,,6.02,IC50,=,6020,nM
37,374266578,132819940,Active,,,,0.054,IC50,=,54,nM
