PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103513894,6448763,Active,,,,5.2,IC50,=,5200,nM
2,123083417,49840916,Active,,,,5.6,IC50,=,5600,nM
3,123083465,49840991,Unspecified,,,,20,IC50,>,20000,nM
4,123083472,49840994,Unspecified,,,,20,IC50,>,20000,nM
5,123085368,49840914,Active,,,,5,IC50,=,5000,nM
6,123085688,50908583,Active,,,,0.6,IC50,=,600,nM
7,123085696,49840917,Active,,,,0.01,IC50,=,10,nM
8,123085741,54728747,Unspecified,,,,20,IC50,>,20000,nM
9,123090344,12161899,Active,,,,1.2,IC50,=,1200,nM
10,123090398,49840992,Unspecified,,,,20,IC50,>,20000,nM
11,123090399,49840993,Unspecified,,,,20,IC50,>,20000,nM
12,123092686,49840915,Active,,,,2.5,IC50,=,2500,nM
13,123094948,49840509,Unspecified,,,,20,IC50,>,20000,nM
14,123094976,54728748,Unspecified,,,,20,IC50,>,20000,nM
15,123095175,49840996,Unspecified,,,,20,IC50,>,20000,nM
