PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,,
1,103197241,5378284,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
2,103453522,5281661,Active,,,,18,IC50,=,18000,nM,
3,103453884,5281626,Unspecified,,,,50,IC50,>,50000,nM,
4,103453890,5281623,Unspecified,,,,50,IC50,>,50000,nM,
5,103621898,5281634,Unspecified,,,,50,IC50,>,50000,nM,
6,124974065,36314,Active,,,,2.4,IC50,=,2400,nM,
