PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103422860,161406,Unspecified,,,,409,Km,=,409000,nM
2,103422860,161406,Unspecified,,,,,Vmax,=,1.7,nmol/mg.min
3,103578422,14751846,Active,,,,41.3,Km,=,41300,nM
4,103578422,14751846,Unspecified,,,,,Vmax,=,0.9,nmol/mg.min
5,103578502,44457432,Unspecified,,,,135,Km,=,135000,nM
6,103578502,44457432,Unspecified,,,,,Vmax,=,1.6,nmol/mg.min
