PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,,
1,103166269,6758,Active,,,,26,ED50,=,26,uM,Non standard unit for type
2,103386719,10531927,Unspecified,,,,148,ED50,=,148,uM,Non standard unit for type
3,103518098,44423797,Unspecified,,,,101,ED50,=,101,uM,Non standard unit for type
4,103518099,44423798,Unspecified,,,,192,ED50,=,192,uM,Non standard unit for type
5,103518100,10604803,Unspecified,,,,60,ED50,=,60,uM,Non standard unit for type
6,123097261,31703,Unspecified,,,,152,ED50,=,152,uM,Non standard unit for type
