PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,,
1,103235857,10228,Active,,,,46.2,IC50,=,46200,nM,
2,136920478,11977753,Active,,,,6.5,IC50,=,6500,nM,
3,312351123,118709361,Active,,,,40.5,IC50,=,40500,nM,
4,312351124,118709362,Active,,,,10.2,IC50,=,10200,nM,
5,312351125,118709363,Active,,,,5.6,IC50,=,5600,nM,
6,312351126,118709364,Active,,,,42.1,IC50,=,42100,nM,
7,312351127,118709365,Active,,,,42.2,IC50,=,42200,nM,
8,312351128,118709366,Active,,,,35.2,IC50,=,35200,nM,
9,312351129,118709367,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
10,312351130,118709368,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
11,312351131,118709369,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
12,312351132,118709370,Active,,,,19.4,IC50,=,19400,nM,
13,312351133,118709371,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
14,312351134,118709372,Active,,,,2.2,IC50,=,2200,nM,
15,312351135,118709373,Active,,,,42.7,IC50,=,42700,nM,
16,312351148,118709376,Active,,,,42.7,IC50,=,42700,nM,
17,312351149,118709377,Active,,,,43,IC50,=,43000,nM,
18,312351150,118709378,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
19,312351151,118709379,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
20,312351152,118709380,Active,,,,38.6,IC50,=,38600,nM,
21,312351153,118709381,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
22,312351154,118709382,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined
