PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103168388,24360,Active,,,,0.085,IC50,=,85,nM
2,103343657,6889,Unspecified,,,,10,IC50,>,10000,nM
3,103343659,236566,Unspecified,,,,10,IC50,>,10000,nM
4,103344787,11840,Unspecified,,,,10,IC50,>,10000,nM
5,103344862,87203,Unspecified,,,,10,IC50,>,10000,nM
6,103345075,7054,Unspecified,,,,10,IC50,>,10000,nM
7,103510696,38333,Unspecified,,,,10,IC50,>,10000,nM
8,194138947,73212283,Active,,,,0.8,IC50,=,800,nM
9,194138948,136249361,Active,,,,9.11,IC50,=,9110,nM
10,194138949,73212597,Unspecified,,,,10,IC50,>,10000,nM
11,194145874,73213397,Active,,,,0.2,IC50,=,200,nM
12,194145875,73213453,Active,,,,0.08,IC50,=,80,nM
13,194145876,73213456,Active,,,,0.03,IC50,=,30,nM
14,194145877,73212285,Active,,,,0.2,IC50,=,200,nM
15,194145878,73212372,Unspecified,,,,10,IC50,>,10000,nM
16,194145879,73212453,Active,,,,2.34,IC50,=,2340,nM
17,194145880,136224198,Active,,,,5.86,IC50,=,5860,nM
18,194152721,73212286,Active,,,,0.62,IC50,=,620,nM
19,194152722,73212528,Active,,,,1.23,IC50,=,1230,nM
20,194152723,73212598,Unspecified,,,,10,IC50,>,10000,nM
21,194159662,73213454,Active,,,,0.36,IC50,=,360,nM
22,194159663,73212376,Active,,,,0.7,IC50,=,700,nM
23,194159664,73212527,Active,,,,0.03,IC50,=,30,nM
24,194166633,73213398,Active,,,,0.25,IC50,=,250,nM
25,194166634,73213457,Active,,,,0.26,IC50,=,260,nM
26,194166635,73213458,Active,,,,0.85,IC50,=,850,nM
27,194166636,73212281,Active,,,,0.06,IC50,=,60,nM
28,194166637,73212449,Active,,,,0.5,IC50,=,500,nM
29,194166638,73212451,Unspecified,,,,10,IC50,>,10000,nM
30,194173477,3082129,Unspecified,,,,10,IC50,>,10000,nM
31,194173478,73213455,Active,,,,0.05,IC50,=,50,nM
32,194173479,73212373,Active,,,,0.03,IC50,=,30,nM
33,194173480,73212377,Active,,,,0.31,IC50,=,310,nM
34,194173481,73212450,Active,,,,0.4,IC50,=,400,nM
35,194173482,73212454,Active,,,,4.55,IC50,=,4550,nM
36,194173483,73212596,Unspecified,,,,10,IC50,>,10000,nM
37,194180352,73212282,Active,,,,0.12,IC50,=,120,nM
38,194180353,73212284,Active,,,,0.64,IC50,=,640,nM
39,194180354,73212371,Active,,,,3.11,IC50,=,3110,nM
40,194180355,73212375,Active,,,,0.22,IC50,=,220,nM
41,194180356,73212448,Active,,,,1.04,IC50,=,1040,nM
42,194180357,73212452,Active,,,,1.61,IC50,=,1610,nM
43,194180358,73212524,Active,,,,1.43,IC50,=,1430,nM
44,194180359,73212595,Unspecified,,,,10,IC50,>,10000,nM
45,194187162,73213399,Active,,,,0.2,IC50,=,200,nM
46,194187163,73213400,Active,,,,0.07,IC50,=,70,nM
47,194187164,73213452,Active,,,,0.38,IC50,=,380,nM
48,194187165,73212287,Active,,,,0.79,IC50,=,790,nM
49,194187166,73212374,Active,,,,0.07,IC50,=,70,nM
50,194187167,73212525,Active,,,,2.24,IC50,=,2240,nM
51,194187168,73212526,Active,,,,3.19,IC50,=,3190,nM
