PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,
1,103173891,94391,Unspecified,,,,85,IC50,=,85000,nM
2,103507642,3385,Active,,,,29.98,IC50,=,29980,nM
3,174488824,73346427,Active,,,,37.12,IC50,=,37120,nM
4,174488825,73346428,Active,,,,8.62,IC50,=,8620,nM
5,174493869,73347930,Unspecified,,,,50,IC50,>,50000,nM
6,174493870,73347931,Active,,,,16.99,IC50,=,16990,nM
7,174493871,73347932,Active,,,,17.51,IC50,=,17510,nM
8,174493872,73347933,Active,,,,26.87,IC50,=,26870,nM
9,174493873,73347934,Active,,,,20.91,IC50,=,20910,nM
10,174499022,73349471,Unspecified,,,,50,IC50,>,50000,nM
11,174499023,73349472,Unspecified,,,,50,IC50,>,50000,nM
12,174499024,73349473,Active,,,,39.45,IC50,=,39450,nM
13,174499025,73349474,Unspecified,,,,50,IC50,>,50000,nM
14,174499026,73349475,Active,,,,25.15,IC50,=,25150,nM
15,174499027,73349476,Unspecified,,,,50,IC50,>,50000,nM
16,174499028,73349477,Active,,,,42.79,IC50,=,42790,nM
17,174499029,73349478,Active,,,,27.91,IC50,=,27910,nM
18,174504275,73351029,Active,,,,49.32,IC50,=,49320,nM
19,174504276,73351030,Active,,,,39.94,IC50,=,39940,nM
20,174504277,73351031,Active,,,,27.2,IC50,=,27200,nM
21,174504278,73351032,Active,,,,10.91,IC50,=,10910,nM
22,174504279,73351033,Active,,,,12.45,IC50,=,12450,nM
23,174509393,73352510,Active,,,,15.78,IC50,=,15780,nM
24,174509394,73352511,Unspecified,,,,50,IC50,>,50000,nM
25,174509395,73352512,Unspecified,,,,50,IC50,>,50000,nM
26,174514562,73353987,Unspecified,,,,50,IC50,>,50000,nM
27,174514563,73353988,Active,,,,13.1,IC50,=,13100,nM
28,174519585,73355525,Active,,,,46.84,IC50,=,46840,nM
29,174519586,73355526,Active,,,,9.73,IC50,=,9730,nM
30,174519587,73355527,Active,,,,21.35,IC50,=,21350,nM
31,174524862,73357063,Active,,,,15.15,IC50,=,15150,nM
32,174524863,73357064,Active,,,,45.42,IC50,=,45420,nM
33,174524864,73357065,Active,,,,13.23,IC50,=,13230,nM
