PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,TRUE,,,,,
1,123097261,31703,Active,,,,3.01,IC50,=,3010,nM,
2,336877237,127033135,Unspecified,,,,63.09,IC50,=,63090,nM,
3,336877238,127033136,Unspecified,,,,117.48,IC50,=,117480,nM,Outside typical range
4,336877245,127033142,Unspecified,,,,63.09,IC50,=,63090,nM,
5,336877641,127033411,Active,,,,27.64,IC50,=,27640,nM,
6,336877654,127033412,Active,,,,26.85,IC50,=,26850,nM,
7,336877658,127033413,Unspecified,,,,57.54,IC50,=,57540,nM,
8,336877659,127033414,Unspecified,,,,104.71,IC50,=,104710,nM,Outside typical range
9,336877660,127033415,Active,,,,19.9,IC50,=,19900,nM,
10,336877661,127033416,Active,,,,39.81,IC50,=,39810,nM,
11,336877662,127033417,Active,,,,21.87,IC50,=,21870,nM,
12,336877663,127033418,Active,,,,22.04,IC50,=,22040,nM,
13,336878073,127033711,Active,,,,40.16,IC50,=,40160,nM,
14,336878074,127033712,Active,,,,25.08,IC50,=,25080,nM,
15,336878075,15127781,Active,,,,26.61,IC50,=,26610,nM,
16,336878076,127033713,Active,,,,9.52,IC50,=,9520,nM,
17,336878479,127033988,Unspecified,,,,51.3,IC50,=,51300,nM,
18,336878511,127034007,Active,,,,14.08,IC50,=,14080,nM,
19,336878512,127034008,Active,,,,22,IC50,=,22000,nM,
20,336878520,127034015,Unspecified,,,,50.11,IC50,=,50110,nM,
21,336878521,127034016,Active,,,,35.88,IC50,=,35880,nM,
22,336878522,127034017,Unspecified,,,,123.02,IC50,=,123020,nM,Outside typical range
23,336878921,127034252,Active,,,,22.65,IC50,=,22650,nM,
24,336878922,127034253,Active,,,,21.21,IC50,=,21210,nM,
25,336878923,127034254,Unspecified,,,,58.88,IC50,=,58880,nM,
26,336878924,127034255,Active,,,,34.87,IC50,=,34870,nM,
27,336878932,127034259,Active,,,,37.66,IC50,=,37660,nM,
28,336878933,127034260,Unspecified,,,,125.89,IC50,=,125890,nM,Outside typical range
29,336878963,127034287,Active,,,,23.65,IC50,=,23650,nM,
